RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
49.6659713,41.6677413,264.236,26.458,24.118,0.043,25.886,0.037,0.883,0.733,0.208,0.176,25.59604,-1.47804
49.6632066,41.6671377,459.147,41.728,25.484,0.067,27.363,0.097,0.366,0.583,0.061,-0.272,27.0908,-1.6068
49.6644166,41.6675115,370.305,44.362,24.699,0.05,26.476,0.047,0.607,0.574,0.201,0.002,26.18748,-1.48848
49.6610677,41.6666104,611.885,48.427,24.891,0.051,26.517,0.052,0.518,0.639,0.143,0.069,26.20432,-1.31332
49.659399,41.6663862,725.012,69.556,24.714,0.051,26.651,0.04,0.624,0.37,0.18,0.064,26.38808,-1.67408
49.6676106,41.6687482,127.751,72.543,23.37,0.034,25.098,0.035,1.052,1.152,0.194,0.208,24.80164,-1.43164
49.6684568,41.6690816,63.307,80.504,24.633,0.048,26.768,0.063,0.637,0.673,0.147,0.056,26.53676,-1.90376
49.6639942,41.6678489,386.24,83.189,24.194,0.044,26.202,0.037,0.785,0.517,0.174,0.016,25.95044,-1.75644
49.6651049,41.6681662,305.528,83.416,25.21,0.081,27.075,0.085,0.696,0.685,0.184,0.032,26.80056,-1.59056
49.6628133,41.6676401,467.912,93.881,22.901,0.031,24.894,0.021,1.153,0.612,0.224,0.044,24.64004,-1.73904
49.6624262,41.6677048,490.397,108.701,24.928,0.072,26.813,0.055,0.685,0.421,0.258,0.172,26.54176,-1.61376
49.6559475,41.6658819,960.308,109.817,25.069,0.051,27.241,0.089,0.44,0.642,0.09,0.253,27.01568,-1.94668
49.6632273,41.668014,429.589,115.68,23.254,0.046,25.21,0.036,1.528,1.033,0.291,0.15,24.95012,-1.69612
49.6641683,41.6682937,360.858,116.79,23.08,0.027,25.063,0.023,0.855,0.632,0.152,0.05,24.80744,-1.72744
49.6615687,41.667577,548.936,118.489,25.06,0.053,26.863,0.067,0.364,0.559,0.121,-0.051,26.57864,-1.51864
49.6617084,41.6676181,538.747,118.609,24.981,0.047,26.924,0.07,0.325,0.546,0.012,-0.208,26.66204,-1.68104
49.6636524,41.6682826,393.953,128.269,23.945,0.048,25.943,0.049,0.996,0.892,0.018,0.058,25.68984,-1.74484
49.6593141,41.6670794,708.057,130.489,24.161,0.036,25.94,0.043,0.628,0.829,0.076,0.041,25.6518,-1.4908
49.6547505,41.6658515,1037.252,136.063,24.614,0.061,26.456,0.036,0.92,0.396,0.294,0.013,26.17788,-1.56388
49.6497283,41.6645072,1399.316,142.804,24.519,0.042,26.386,0.048,0.598,0.659,0.012,-0.002,26.11188,-1.59288
49.6640148,41.6685768,361.476,144.54,24.807,0.077,26.547,0.051,0.814,0.497,0.207,0.055,26.25256,-1.44556
49.6635747,41.6684923,392.129,147.951,25.258,0.109,27.511,0.092,0.759,0.338,0.235,0.057,27.29864,-2.04064
49.6599512,41.6674731,654.937,148.601,24.372,0.058,26.145,0.036,0.939,0.495,0.233,0.066,25.85584,-1.48384
49.6572023,41.6668582,849.205,162.546,25.458,0.074,27.293,0.061,0.469,0.31,-0.074,-0.021,27.01376,-1.55576
49.6574067,41.6669415,833.552,164.699,25.355,0.072,27.182,0.087,0.498,0.644,0.13,0.162,26.90148,-1.54648
49.6661691,41.6696077,191.543,180.259,25.09,0.069,26.754,0.061,0.591,0.577,0.011,0.025,26.4474,-1.3574
49.6658468,41.6695562,213.651,183.648,24.81,0.059,26.678,0.057,0.619,0.558,0.133,-0.033,26.40404,-1.59404
49.657982,41.6675886,776.18,205.827,24.867,0.07,26.685,0.039,0.775,0.297,0.05,0.007,26.40304,-1.53604
49.6542924,41.6665747,1043.016,208.533,25.438,0.062,27.375,0.077,0.375,0.436,0.012,0.161,27.11208,-1.67408
49.6661937,41.6699968,177.442,212.722,24.071,0.034,26.329,0.041,0.583,0.494,0.119,0.111,26.11744,-2.04644
49.6439518,41.6638901,1785.799,229.519,25.291,0.067,27.505,0.088,0.483,0.447,0.046,-0.166,27.2864,-1.9954
49.6477732,41.6651399,1502.988,243.648,24.847,0.072,27.203,0.061,0.843,0.328,0.263,0.055,27.00712,-2.16012
49.665528,41.6702378,211.924,249.223,23.775,0.047,25.589,0.034,1.152,0.767,0.264,0.167,25.3064,-1.5314
49.6607683,41.669116,550.132,268.499,23.675,0.04,25.488,0.021,0.922,0.374,0.176,0.067,25.20524,-1.53024
49.663126,41.6698171,377.914,271.301,25.024,0.077,27.186,0.092,0.6,0.53,0.035,0.195,26.95908,-1.93508
49.6582612,41.66854,727.796,279.925,25.163,0.086,27.555,0.089,0.77,0.393,0.152,-0.007,27.36488,-2.20188
49.6663233,41.6708314,142.322,280.516,23.996,0.032,25.838,0.038,0.633,0.772,0.103,0.018,25.55988,-1.56388
49.6324808,41.6612509,2598.887,281.713,23.636,0.034,25.445,0.028,0.906,0.696,0.19,0.07,25.1616,-1.5256
49.6479677,41.6656681,1473.618,283.834,25.168,0.065,27.194,0.086,0.473,0.557,0.179,0.211,26.94532,-1.77732
49.6579005,41.6685208,751.308,286.978,25.038,0.07,27.116,0.067,0.682,0.462,0.175,-0.007,26.87564,-1.83764
49.6637248,41.670193,327.798,288.829,23.559,0.036,25.26,0.037,0.932,1.077,0.208,0.2,24.95932,-1.40032
49.6430292,41.6647328,1817.174,323.335,25.476,0.073,27.578,0.084,0.468,0.376,0.124,0.093,27.34148,-1.86548
49.6619629,41.6702221,438.672,333.706,23.656,0.023,25.601,0.035,0.473,0.773,0.063,-0.002,25.33936,-1.68336
49.6600242,41.6697465,577.034,339.98,23.495,0.029,25.491,0.028,0.782,0.656,0.172,0.065,25.23752,-1.74252
49.6597565,41.6696854,595.984,341.236,24.667,0.06,26.646,0.057,0.788,0.621,0.106,-0.117,26.3898,-1.7228
49.6620563,41.6704137,426.569,347.741,25.12,0.064,27.053,0.084,0.507,0.659,-0.121,0.048,26.78944,-1.66944
49.6609428,41.6701139,506.894,349.074,23.573,0.029,25.24,0.034,0.708,0.971,0.167,0.134,24.93388,-1.36088
49.6610791,41.6701788,496.157,351.308,23.653,0.039,25.564,0.027,1.021,0.592,0.175,-0.037,25.29692,-1.64392
49.660777,41.6701448,516.422,355.694,25.472,0.088,27.566,0.092,0.548,0.392,-0.005,-0.112,27.3282,-1.8562
49.6520452,41.6677255,1148.527,360.407,23.728,0.029,25.566,0.021,0.684,0.412,0.137,0.074,25.28724,-1.55924
49.6593158,41.6698687,618.049,367.417,23.499,0.03,25.418,0.027,0.827,0.652,0.138,0.05,25.1522,-1.6532
49.6645511,41.6716627,227.996,393.794,25.033,0.075,26.838,0.064,0.794,0.611,0.114,0.112,26.55396,-1.52096
49.656056,41.6692639,844.409,394.525,24.971,0.049,26.794,0.065,0.461,0.673,0.053,0.137,26.51284,-1.54184
49.6674287,41.672642,13.83,407.727,22.232,0.024,24.213,0.02,1.153,0.86,0.139,0.029,23.95712,-1.72512
49.6527846,41.6685703,1074.37,414.369,24.752,0.054,26.628,0.053,0.676,0.596,0.089,0.225,26.35532,-1.60332
49.6632217,41.6718781,305.419,444.092,25.435,0.071,27.443,0.109,0.464,0.667,0.038,0.164,27.19144,-1.75644
49.6640646,41.6722407,240.245,454.614,25.057,0.05,26.998,0.074,0.428,0.648,0.049,0.117,26.73572,-1.67872
49.6664648,41.6729697,64.438,458.77,22.52,0.035,24.469,0.025,1.632,1.05,0.234,0.14,24.208,-1.688
49.6499171,41.6682962,1265.178,460.139,25.43,0.074,27.066,0.065,0.464,0.456,0.138,-0.032,26.75492,-1.32492
