RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
49.662474,41.6718868,352.589,462.835,25.435,0.081,27.447,0.094,0.57,0.529,-0.113,0.203,27.19608,-1.76108
49.6456964,41.6671792,1569.035,466.908,23.749,0.044,25.854,0.029,1.075,0.478,0.286,0.064,25.61796,-1.86896
49.6586044,41.6709631,627.921,477.52,25.351,0.072,27.35,0.091,0.525,0.59,0.266,-0.15,27.097,-1.746
49.6632791,41.6724273,284.08,489.368,24.553,0.05,26.527,0.059,0.746,0.77,0.129,0.04,26.27,-1.717
49.6611941,41.6718677,434.425,492.018,24.869,0.056,26.717,0.051,0.618,0.512,0.165,-0.153,26.43984,-1.57084
49.652326,41.6695079,1073.249,505.069,24.833,0.061,26.724,0.055,0.733,0.575,0.203,0.059,26.45372,-1.62072
49.6618843,41.6723321,375.658,514.864,24.604,0.052,26.308,0.043,0.741,0.609,0.15,0.119,26.0078,-1.4038
49.6626843,41.6726284,315.341,520.775,24.607,0.033,26.426,0.042,0.362,0.521,0.09,0.032,26.1442,-1.5372
49.6615496,41.6723341,396.835,523.089,23.919,0.046,25.925,0.035,1.083,0.633,0.245,0.127,25.67312,-1.75412
49.6664963,41.6738618,33.694,533.802,24.76,0.053,26.679,0.057,0.663,0.63,-0.006,0.106,26.4132,-1.6532
49.6643296,41.6737027,176.312,572.439,24.795,0.073,26.499,0.047,0.995,0.589,0.269,0.048,26.1988,-1.4038
49.6640015,41.6737218,196.518,581.96,23.369,0.028,25.125,0.021,0.835,0.571,0.145,0.051,24.83312,-1.46412
49.6330095,41.6650509,2442.758,591.76,24.937,0.063,26.758,0.041,0.717,0.343,0.218,-0.01,26.47652,-1.53952
49.6602732,41.6728063,462.615,593.93,25.447,0.09,27.18,0.07,0.659,0.484,0.241,0.048,26.88444,-1.43744
49.6596239,41.6726496,508.87,596.246,25.437,0.077,27.284,0.067,0.532,0.395,-0.011,-0.086,27.00668,-1.56968
49.6484061,41.6697794,1313.241,622.529,24.101,0.044,25.932,0.047,0.769,0.85,0.184,0.149,25.65212,-1.55112
49.6586612,41.6727358,567.182,626.752,24.601,0.056,26.469,0.059,0.818,0.829,0.238,0.094,26.19504,-1.59404
49.6652142,41.6746805,88.674,634.216,24.794,0.056,26.689,0.057,0.688,0.634,0.102,0.148,26.41936,-1.62536
49.6594346,41.6730864,506.805,637.916,24.424,0.05,26.326,0.051,0.831,0.771,0.241,0.186,26.05748,-1.63348
49.6477542,41.6701886,1341.414,672.996,25.018,0.048,26.744,0.049,0.393,0.44,0.002,-0.008,26.44732,-1.42932
49.6192447,41.6622533,3406.492,685.888,25.071,0.054,26.694,0.055,0.48,0.595,0.17,-0.085,26.38084,-1.30984
49.6470609,41.6708059,1365.512,742.127,23.624,0.039,25.59,0.035,1.08,0.828,0.213,0.159,25.33172,-1.70772
49.6552017,41.6735645,759.993,780.442,24.669,0.046,26.59,0.054,0.594,0.654,0.143,0.135,26.32452,-1.65552
49.6393545,41.6691716,1907.225,788.928,23.949,0.035,26.068,0.047,0.779,0.879,0.16,0.223,25.8342,-1.8852
49.620004,41.6638267,3307.537,801.235,25.041,0.066,26.788,0.055,0.682,0.537,0.199,0.175,26.49468,-1.45368
49.6529117,41.673543,905.999,833.752,25.264,0.076,27.238,0.079,0.664,0.554,0.138,-0.159,26.981,-1.717
49.6588952,41.6757882,453.949,880.435,23.817,0.051,25.605,0.037,1.365,0.904,0.145,0.226,25.31824,-1.50124
49.6175177,41.6641392,3455.22,887.711,24.502,0.046,26.343,0.052,0.685,0.788,0.105,0.181,26.06472,-1.56272
49.6316269,41.669701,2380.493,1020.077,24.254,0.05,26,0.028,0.965,0.442,0.241,0.103,25.70652,-1.45252
49.6629408,41.6795735,75.247,1104.633,25.175,0.077,26.953,0.062,0.738,0.544,0.093,-0.077,26.66464,-1.48964
49.616751,41.6666588,3422.557,1120.213,24.46,0.064,26.258,0.057,1.121,0.949,0.273,0.297,25.97284,-1.51284
49.6562654,41.6779429,551.367,1126.789,22.921,0.036,24.839,0.019,1.458,0.607,0.191,0.085,24.57304,-1.65204
49.6255983,41.6697877,2760.223,1172.727,25.466,0.089,27.059,0.111,0.657,1.067,0.239,0.241,26.74104,-1.27504
49.650041,41.6777826,951.476,1263.042,24.17,0.039,25.849,0.045,0.755,0.985,0.116,0.247,25.5448,-1.3748
49.6065104,41.6663047,4083.758,1337.06,25.344,0.07,27.484,0.09,0.535,0.495,0.028,0.065,27.25356,-1.90956
49.642694,41.6778245,1416.284,1443.529,24.787,0.066,26.496,0.08,0.877,1.186,0.171,0.05,26.1966,-1.4096
49.6485619,41.6819859,909.811,1655.73,23.972,0.042,25.77,0.034,0.948,0.721,0.217,0.051,25.48484,-1.51284
49.6519419,41.6829809,663.282,1658.876,24.802,0.054,26.725,0.079,0.662,0.958,0.171,0.297,26.45984,-1.65784
49.6506174,41.6851126,678.596,1871.857,24.278,0.048,26.002,0.044,0.899,0.851,0.089,0.082,25.705,-1.427
49.613853,41.674959,3338.553,1895.08,24.104,0.05,25.905,0.05,1.083,1.091,0.162,0.193,25.62032,-1.51632
49.642262,41.68326,1268.42,1915.672,23.736,0.039,25.648,0.047,1.026,1.199,0.197,0.268,25.38108,-1.64508
49.6344938,41.6813127,1824.048,1937.362,25.145,0.078,27.397,0.112,0.763,0.764,0.239,0.082,27.18448,-2.03948
49.6360412,41.6819531,1705.224,1954.492,24.699,0.086,26.444,0.059,1.305,0.852,0.271,0.032,26.15036,-1.45136
49.6459485,41.6857355,954.715,2037.19,24.058,0.045,25.663,0.049,1,1.249,0.062,0.262,25.34696,-1.28896
49.6089406,41.6837956,3364.955,2764.061,25.48,0.098,26.974,0.08,0.742,0.764,0.219,0.238,26.6402,-1.1602
49.6080797,41.684781,3387.759,2868.509,25.161,0.063,27.066,0.062,0.551,0.474,-0.121,-0.122,26.79796,-1.63696
49.6086289,41.6855148,3329.233,2917.594,24.654,0.058,26.448,0.045,0.838,0.577,0.17,0.017,26.1622,-1.5082
49.6095962,41.6858223,3257.95,2920.39,25.204,0.076,26.855,0.077,0.685,0.822,0.28,-0.051,26.54632,-1.34232
49.607387,41.6852269,3417.304,2923.081,24.886,0.064,26.726,0.048,0.765,0.466,0.135,0.034,26.44756,-1.56156
49.6018101,41.6854742,3763.061,3078.542,24.571,0.07,26.604,0.07,1.167,0.934,-0.067,0.257,26.35644,-1.78544
49.6193159,41.6907784,2481.479,3107.093,24.631,0.054,26.413,0.067,0.78,1.044,0.155,-0.11,26.12528,-1.49428
49.6254993,41.6940362,1984.164,3234.834,22.982,0.039,24.799,0.026,1.518,0.937,0.281,0.134,24.51688,-1.53488
49.5972808,41.6868636,4005.479,3305.771,25.427,0.077,26.874,0.07,0.554,0.706,-0.093,-0.184,26.53268,-1.10568
49.6121374,41.6931788,2859.318,3483.983,25.161,0.064,27.195,0.067,0.58,0.451,0.129,0.194,26.9476,-1.7866
49.6137184,41.6938439,2737.575,3502.369,24.032,0.052,26.109,0.043,1.214,0.743,0.28,0.201,25.86848,-1.83648
49.6338007,41.7013276,1222.435,3654.234,25.216,0.064,26.86,0.063,0.533,0.623,0.234,-0.037,26.5502,-1.3342
49.6306891,41.7018093,1404.234,3770.088,23.77,0.044,25.468,0.026,1.165,0.64,0.255,0.079,25.16684,-1.39684
49.6219348,41.6999738,2018.659,3825.055,24.145,0.048,25.858,0.033,0.983,0.63,0.277,0.093,25.55924,-1.41424
49.6119263,41.6980188,2716.482,3900.166,24.596,0.046,26.05,0.035,0.64,0.586,0.004,0.001,25.7098,-1.1138
49.6069633,41.6971664,3058.746,3947.385,24.637,0.063,26.245,0.039,0.944,0.573,0.26,0.002,25.92944,-1.29244
49.6273068,41.7030151,1579.843,3953.979,24.202,0.038,25.749,0.028,0.697,0.557,0.204,0.089,25.42368,-1.22168
49.6285887,41.7041093,1463.248,4016.047,23.343,0.022,25.43,0.029,0.616,0.749,-0.011,-0.173,25.19108,-1.84808
49.6624418,41.6669196,514.709,41.612,24.501,0.048,26.221,0.048,0.693,0.741,0.185,0.186,25.92336,-1.42236
49.665705,41.6678674,277.075,43.579,24.938,0.052,26.846,0.072,0.503,0.725,0.096,0.267,26.57844,-1.64044
49.6630158,41.6677409,451.813,97.571,24.548,0.049,26.462,0.054,0.596,0.629,-0.106,0.076,26.1954,-1.6474
49.6601,41.6669534,662.242,100.865,24.499,0.033,26.062,0.043,0.382,0.741,0.019,0.09,25.73924,-1.24024
49.6618674,41.6696305,463.8,285.755,23.803,0.054,25.683,0.044,1.209,0.894,0.295,0.199,25.41096,-1.60796
49.6542634,41.6676096,1011.492,297.149,25.286,0.052,27.194,0.056,0.325,0.317,0.008,0.123,26.92644,-1.64044
49.6640349,41.6706696,292.762,321.847,22.844,0.037,24.669,0.021,1.472,0.739,0.261,0.103,24.38816,-1.54416
49.6621298,41.6708894,406.573,386.385,24.566,0.042,26.504,0.049,0.534,0.578,0.089,0.014,26.24124,-1.67524
49.659721,41.670262,579.655,391.075,24.049,0.028,25.781,0.036,0.484,0.734,-0.018,0.114,25.48528,-1.43628
49.6564352,41.6696216,808.814,415.782,23.535,0.037,25.403,0.038,1.066,1.081,0.247,0.2,25.12904,-1.59404
49.6623028,41.6715258,375.089,436.288,25.417,0.083,27.143,0.07,0.594,0.497,0.25,0.087,26.84632,-1.42932
49.664636,41.6734367,165.442,542.464,25.042,0.053,26.859,0.064,0.482,0.621,0.021,-0.094,26.57688,-1.53488
49.6531356,41.6708828,977.548,602.376,22.907,0.038,24.7,0.031,1.561,1.215,0.248,0.242,24.41404,-1.50704
49.6626537,41.6735942,286.16,603.562,25.273,0.08,27.462,0.117,0.677,0.736,-0.017,0.071,27.2394,-1.9664
49.6434282,41.6684841,1670.893,632.389,24.768,0.048,26.392,0.049,0.566,0.696,0.067,0.14,26.079,-1.311
49.6501036,41.6726237,1113.824,823.277,24.934,0.056,26.803,0.06,0.584,0.598,0.2,0.095,26.5292,-1.5952
49.6533992,41.6764937,779.948,1072.689,24.658,0.052,26.535,0.065,0.723,0.889,0.175,0.102,26.26248,-1.60448
49.6603597,41.6795132,240.966,1161.632,24.037,0.039,26.288,0.035,0.836,0.466,0.019,-0.031,26.07532,-2.03832
49.6268229,41.6702769,2666.741,1184.766,23.726,0.036,25.553,0.037,0.919,0.941,0.201,0.229,25.27248,-1.54648
49.615454,41.6675257,3476.879,1225.116,25.085,0.069,27.634,0.102,0.701,0.498,0.175,-0.057,27.469,-2.384
49.6479952,41.6775711,1088.1,1294.337,25.011,0.065,26.871,0.073,0.649,0.713,0.094,0.25,26.59576,-1.58476
49.646673,41.6772631,1181.927,1300.012,24.979,0.073,26.709,0.063,0.839,0.719,0.163,0.157,26.41296,-1.43396
49.61417,41.6700878,3475.657,1473.691,24.996,0.068,26.79,0.065,0.749,0.687,0.015,0.097,26.5042,-1.5082
49.6144523,41.6743724,3319.466,1830.806,23.733,0.042,25.43,0.039,1.099,1.084,0.267,0.02,25.12868,-1.39568
49.6269186,41.6781533,2406.554,1851.504,24.968,0.062,26.982,0.086,0.677,0.831,-0.112,0.294,26.7314,-1.7634
49.6461442,41.6882826,860.175,2248.858,25.008,0.097,26.958,0.083,1.174,0.819,-0.175,0.204,26.69716,-1.68916
49.6440768,41.6886516,979.429,2329.982,25.296,0.107,27.194,0.089,1.002,0.693,0.169,0.279,26.92484,-1.62884
49.6255537,41.6843959,2291.741,2414.654,25.04,0.087,26.553,0.081,0.994,1.167,0.121,0.295,26.22224,-1.18224
49.6394831,41.6906489,1206.427,2610.268,24.776,0.072,26.591,0.068,0.995,0.896,0.017,0.186,26.30856,-1.53256
49.6530038,41.6978957,115.113,2900.362,25.127,0.082,27.532,0.101,0.846,0.56,0.243,0.235,27.34396,-2.21696
49.6256575,41.6904198,2090.804,2923.838,24.889,0.059,26.65,0.072,0.674,0.92,0.098,-0.005,26.35892,-1.46992
49.6246708,41.6945257,2020.917,3296.366,23.177,0.03,25.124,0.035,0.996,1.155,0.169,0.249,24.86268,-1.68568
49.6416596,41.7055919,586.481,3827.234,24.953,0.071,26.973,0.064,0.824,0.537,0.25,0.254,26.72336,-1.77036
49.631008,41.7031709,1340.092,3878.069,24.898,0.064,26.55,0.061,0.768,0.806,-0.077,0.199,26.24148,-1.34348
49.6645557,41.6687411,321.858,145.475,25.114,0.075,26.837,0.075,0.612,0.671,0.283,0.259,26.53984,-1.42584
49.6064392,41.666301,4088.391,1338.46,25.128,0.062,26.664,0.072,0.541,0.898,0.104,0.205,26.33692,-1.20892
49.6555493,41.6842752,392.688,1681.987,24.257,0.066,26.477,0.085,1.368,1.314,0.03,0.014,26.25936,-2.00236
49.6456488,41.6962002,636.31,2933.379,25.079,0.074,27.244,0.072,0.763,0.486,-0.079,0.093,27.01756,-1.93856
49.6339769,41.6968677,1355.115,3271.144,25.265,0.082,27.374,0.102,0.74,0.694,-0.029,0.201,27.1386,-1.8736
49.6683046,41.6701085,39.877,171.404,24.808,0.058,26.268,0.048,0.696,0.675,0.197,0.265,25.92876,-1.12076
49.6623902,41.6717386,362.679,452.263,25.11,0.063,27.116,0.09,0.567,0.723,0.036,0.021,26.86412,-1.75412
49.6648569,41.6694911,278.574,201.939,25.409,0.118,27.912,0.267,0.62,0.886,0.259,-0.059,27.73964,-2.33064
49.6325091,41.6807348,1968.602,1936.084,25.081,0.097,27.265,0.115,1.101,0.892,0.054,0.235,27.0416,-1.9606
