RA,Dec,x,y,F814W,err,f475W,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
50.0846116,41.7117198,3490.565,3924.909,24.916,0.042,27.09,0.081,0.741,0.743,0.173,0.145,26.557,-1.641
50.0836871,41.7119573,3440.482,3940.804,24.808,0.046,26.626,0.085,0.913,1.281,0.127,0.121,26.093,-1.285
50.0525251,41.7291933,1356.114,3942.38,23.58,0.039,25.488,0.037,1.397,0.968,0.194,0.146,24.955,-1.375
50.0804828,41.7134877,3236.515,3955,25.415,0.048,27.214,0.061,0.521,0.346,0.052,0.027,26.681,-1.266
50.0823284,41.7121264,3374.588,3974.566,25.385,0.06,27.511,0.079,0.799,0.347,0.193,0.04,26.978,-1.593
50.0834252,41.7113722,3454.292,3983.022,24.93,0.057,27.513,0.102,1.116,0.583,0.254,0.042,26.98,-2.05
50.0796194,41.7134014,3202.965,3987.65,24.889,0.063,26.782,0.076,1.271,0.891,0.035,0.047,26.249,-1.36
50.077138,41.71461,3044.01,3997.275,24.256,0.032,26.529,0.058,0.744,0.784,-0.01,0.131,25.996,-1.74
50.0801582,41.7128833,3248.451,4000.34,24.892,0.048,26.831,0.067,0.818,0.661,0.121,0.118,26.298,-1.406
50.0900059,41.7071771,3918.341,4014.65,25.189,0.061,27.191,0.12,1.081,1.19,0.095,0.104,26.658,-1.469
50.0628547,41.7222018,2101.843,4015.869,24.717,0.042,26.599,0.053,0.886,0.634,0.096,0.068,26.066,-1.349
50.0807237,41.7122921,3298.227,4016.393,24.686,0.05,26.825,0.087,0.981,0.97,0.108,-0.104,26.292,-1.606
50.0767371,41.7142504,3042.142,4030.908,24.649,0.058,26.667,0.05,1.408,0.541,0.238,0.146,26.134,-1.485
50.0820118,41.7113229,3395.41,4031.153,24.782,0.056,27.039,0.091,1.134,0.871,0.259,0.243,26.506,-1.724
50.0489948,41.7295358,1189.073,4035.594,24.592,0.03,26.485,0.061,0.549,0.925,0.057,-0.107,25.952,-1.36
50.0780109,41.7132806,3138.734,4046.165,23.983,0.024,25.95,0.061,0.528,1.396,0.016,0.246,25.417,-1.434
50.0825096,41.7107238,3442.606,4049.839,25.249,0.055,27.111,0.069,0.796,0.515,-0.109,-0.012,26.578,-1.329
50.0786461,41.7126684,3192.416,4061.208,24.814,0.048,26.669,0.062,0.874,0.702,-0.059,0.203,26.136,-1.322
50.0781569,41.7129301,3160.079,4061.752,24.95,0.072,27.143,0.075,1.432,0.551,0.144,0.062,26.61,-1.66
50.078785,41.7122291,3217.267,4082.155,23.724,0.052,25.878,0.06,1.74,1.366,0.275,0.027,25.345,-1.621
50.0791007,41.7120312,3239.383,4083.478,25.145,0.098,27.313,0.105,1.603,0.696,0.347,0.317,26.78,-1.635
50.0787525,41.7121466,3219.406,4087.962,24.783,0.045,26.698,0.075,0.749,0.904,0.06,-0.011,26.165,-1.382
50.0803075,41.7112174,3326.392,4091.86,25.306,0.081,27.645,0.14,1.081,0.723,0.321,-0.365,27.112,-1.806
50.080088,41.7110681,3323.323,4107.522,24.674,0.044,26.516,0.052,0.804,0.629,0.138,0.081,25.983,-1.309
50.0795947,41.7108751,3310.324,4134.487,25.187,0.063,27.709,0.205,0.967,1.271,0.175,0.344,27.176,-1.989
50.0786888,41.7113454,3251.041,4136.324,25.129,0.052,27.095,0.074,0.734,0.544,0.039,0.002,26.562,-1.433
50.0790072,41.7109353,3282.38,4149.827,25.107,0.053,27.42,0.088,0.802,0.506,0.14,0.055,26.887,-1.78
50.0811547,41.7094804,3437.504,4165.127,24.276,0.055,26.194,0.039,1.59,0.591,0.164,0.099,25.661,-1.385
50.0815555,41.7086385,3490.933,4200.956,24.967,0.046,26.799,0.07,0.807,0.808,0.02,-0.06,26.266,-1.299
50.1277803,41.7540056,3536.868,97.732,23.816,0.029,25.815,0.055,0.835,1.364,0.111,0.239,25.282,-1.466
50.1323544,41.7513971,3846.095,101.896,25.055,0.068,27.179,0.078,1.394,0.619,0.199,0.023,26.646,-1.591
50.1104265,41.7613368,2473.909,230.009,25.229,0.057,26.77,0.067,0.919,0.777,0.198,0.172,26.237,-1.008
50.1257918,41.7481303,3703.489,500.964,24.695,0.049,26.846,0.077,1.12,0.907,0.183,0.27,26.313,-1.618
50.1210899,41.7462797,3580.242,758.57,25.323,0.072,27.333,0.083,1.212,0.561,0.185,0.131,26.8,-1.477
