RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
50.0109136,41.8942008,390.597,176.574,24.276,0.048,26.312,0.043,0.926,0.618,0.23,0.163,26.06492,-1.78892
50.0081302,41.8968248,382.91,480.266,22.107,0.013,24.255,0.018,0.511,0.695,0.004,-0.003,24.02584,-1.91884
49.9568671,41.9036962,2648.625,3177.666,22.347,0.014,24.035,0.013,0.52,0.436,-0.01,0.024,23.73224,-1.38524
49.9647318,41.9094404,1905.952,3238.531,24.818,0.06,26.843,0.069,0.73,0.708,0.169,0.108,26.59416,-1.77616
49.9728389,41.9144674,1192.407,3238.918,24.492,0.051,26.592,0.067,0.82,0.889,0.192,0.159,26.35516,-1.86316
49.9695801,41.919477,1070.576,3729.737,24.227,0.046,25.967,0.045,0.913,0.899,0.089,0.03,25.67256,-1.44556
49.9414049,41.9037247,3450.512,3848.779,24.974,0.05,27.153,0.077,0.496,0.6,0.064,-0.058,26.9288,-1.9548
49.9736483,41.8821247,3030.214,945.06,22.186,0.017,24.607,0.029,0.793,1.129,-0.051,-0.021,24.42152,-2.23552
49.9787,41.9180906,677.212,3238.483,25.173,0.073,26.695,0.076,0.688,0.948,0.248,0.245,26.36568,-1.19268
49.9676689,41.9236562,926.964,4104.263,25.074,0.073,26.577,0.053,0.761,0.628,0.281,0.232,26.24464,-1.17064
49.9748519,41.8757461,3338.366,447.485,23.07,0.028,24.584,0.027,1.032,1.023,-0.077,0.091,24.2534,-1.1834
