RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
49.2920574,41.5819845,2198.335,451.083,24.65,0.059,26.728,0.043,0.918,0.447,0.248,0.029,26.48764,-1.83764
49.2853134,41.572056,1188.377,514.072,25.037,0.055,26.74,0.066,0.567,0.805,0.167,0.267,26.43964,-1.40264
49.3041426,41.5948098,3619.3,566.994,25.383,0.099,27.622,0.093,0.877,0.493,0.058,0.203,27.4074,-2.0244
49.2924873,41.5747705,1648.425,809.018,24.895,0.071,26.508,0.047,0.923,0.64,-0.108,0.166,26.19324,-1.29824
49.2945497,41.5748447,1725.408,926.369,25.311,0.067,27.13,0.069,0.546,0.584,0.031,0.216,26.8482,-1.5372
49.2859502,41.5623494,450.445,999.05,24.73,0.044,26.376,0.067,0.556,1.145,0.073,0.175,26.06652,-1.33652
49.3035297,41.5827303,2652.593,1088.428,24.873,0.059,26.607,0.048,0.732,0.588,-0.208,-0.021,26.3116,-1.4386
49.3096794,41.589441,3390.11,1138.851,24.728,0.058,26.793,0.046,0.791,0.454,0.285,0.04,26.55056,-1.82256
49.2956341,41.5678068,1211.882,1314.537,24.895,0.069,26.762,0.064,0.878,0.755,-0.015,0.247,26.48788,-1.59288
49.312811,41.588979,3462.024,1343.5,24.251,0.049,26.05,0.033,1.021,0.591,0.148,0.024,25.765,-1.514
49.2983963,41.5699921,1478.283,1375.497,24.914,0.087,26.517,0.073,1.185,1.145,0.088,0.274,26.20064,-1.28664
49.2998444,41.5704638,1565.187,1438.548,25.32,0.064,27.827,0.116,0.51,0.541,-0.058,-0.059,27.65528,-2.33528
49.3144133,41.57719,2594.582,1981.33,25.317,0.074,26.716,0.068,0.632,0.867,0.239,-0.026,26.367,-1.05
49.3160337,41.5789827,2790.832,1993.476,24.808,0.059,26.618,0.052,0.785,0.649,0.106,-0.227,26.33476,-1.52676
49.3255391,41.5781635,3054.885,2587.816,24.809,0.058,26.875,0.079,0.749,0.907,-0.244,0.125,26.63272,-1.82372
49.3149823,41.5615348,1388.856,2737.098,25.25,0.077,27.121,0.099,0.724,0.957,-0.211,-0.179,26.84752,-1.59752
49.326485,41.5707756,2509.325,2984.205,25.088,0.077,26.606,0.063,0.828,0.882,0.298,0.132,26.27604,-1.18804
49.3320485,41.5751441,3043.348,3108.304,25.449,0.078,27.007,0.073,0.583,0.714,0.266,-0.078,26.68344,-1.23444
49.3175242,41.5565269,1084.657,3117.076,25.067,0.055,26.731,0.062,0.546,0.761,0.03,0.099,26.4244,-1.3574
49.3328242,41.5748245,3045.119,3168.47,25.458,0.074,27.498,0.109,0.531,0.729,-0.133,0.156,27.25156,-1.79356
49.3202987,41.5577078,1272.904,3225.076,23.983,0.054,25.886,0.045,1.386,1.007,0.199,0.121,25.61764,-1.63464
49.3250647,41.5630167,1853.013,3259.166,22.801,0.034,25.046,0.032,1.504,1.124,0.291,0.17,24.83236,-2.03136
49.3508938,41.5745198,3645.421,4240.404,24.196,0.034,25.921,0.04,0.592,0.851,0.12,0.207,25.62416,-1.42816
49.3009289,41.5938654,3434.487,422.434,25.426,0.076,27.308,0.078,0.579,0.564,0.126,0.164,27.03628,-1.61028
49.2953674,41.5864339,2660.855,439.652,25.206,0.07,26.857,0.071,0.657,0.8,0.12,0.272,26.54832,-1.34232
49.3040942,41.5926917,3451.828,661.89,23.401,0.038,25.114,0.032,1.293,1.07,0.254,0.186,24.81524,-1.41424
49.3082155,41.5787783,2504.959,1545.14,25.185,0.061,27.015,0.103,0.556,1.121,-0.148,0.284,26.73496,-1.54996
49.2993458,41.5582858,594.686,1971.157,24.038,0.041,25.746,0.054,0.956,1.356,-0.188,0.087,25.44644,-1.40844
49.3007081,41.5592225,715.035,2007.739,25.345,0.116,26.959,0.115,1.028,1.334,0.293,0.278,26.6444,-1.2994
49.3168923,41.5714542,2231.208,2391.187,23.995,0.057,25.78,0.038,1.441,0.877,0.163,0.17,25.49276,-1.49776
49.2869744,41.5773829,1662.725,365.664,24.864,0.054,26.772,0.055,0.66,0.614,0.174,0.131,26.50444,-1.64044
49.2876669,41.5730948,1350.911,604,23.805,0.036,25.579,0.042,0.944,1.101,0.182,0.286,25.29,-1.485
