RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.504657,41.4808655,562.069,27.159,25.419,0.068,26.64,0.076,0.965,1.029,0.235,0.246,-1.221
49.5430021,41.4796238,2631.654,82.027,24.478,0.044,25.989,0.07,1.008,1.624,0.119,0.106,-1.511
49.5364816,41.4790806,2280.637,127.068,24.692,0.042,26.089,0.062,0.799,1.273,0.072,-0.038,-1.397
49.5330354,41.4790789,2094.769,130.314,25.361,0.072,26.848,0.07,1.131,0.72,0.167,0.235,-1.487
49.5691166,41.4765785,4043.885,277.221,24.628,0.036,26.488,0.069,0.662,1.049,0.018,0.151,-1.86
49.5694296,41.4764188,4060.967,288.426,24.963,0.053,26.355,0.09,0.995,1.695,0.179,-0.064,-1.392
49.5272556,41.4768795,1785.686,293.876,24.724,0.065,26.219,0.079,1.549,1.613,0.275,0.134,-1.495
49.5619137,41.4752644,3657.01,378.491,24.901,0.059,26.52,0.08,1.206,1.234,0.179,-0.042,-1.619
49.504524,41.4747796,562.107,465.396,24.694,0.059,26.306,0.056,1.347,0.913,0.238,0.166,-1.612
49.5333117,41.4732005,2116.781,553.25,24.347,0.053,25.918,0.034,1.425,0.587,0.203,0.038,-1.571
49.5459315,41.4728315,2797.936,568.324,24.088,0.035,25.592,0.038,0.891,0.953,0.076,0.108,-1.504
49.541468,41.4723845,2557.719,604.577,25.265,0.073,26.782,0.076,1.241,0.883,0.269,-0.034,-1.517
49.5242429,41.4709695,1630.297,722.049,25.344,0.048,26.792,0.075,0.585,0.831,0.023,-0.089,-1.448
49.5544849,41.4690071,3263.995,835.801,24.419,0.047,26.14,0.089,1.162,1.938,0.174,0.082,-1.721
49.5153025,41.4689593,1150.436,874.796,25.184,0.047,26.729,0.063,0.679,0.691,0.073,0.123,-1.545
49.5283408,41.468608,1854.189,888.359,23.904,0.036,25.656,0.036,1.036,0.835,0.149,0.018,-1.752
49.519154,41.4681608,1359.154,928.827,24.733,0.071,26.27,0.064,1.724,1.142,0.243,-0.046,-1.537
49.5523609,41.4667678,3152.167,998.957,25.16,0.071,26.801,0.127,1.277,1.75,0.271,-0.07,-1.641
49.4950736,41.4654118,63.403,1148.158,24.2,0.047,25.57,0.035,1.313,0.856,0.189,0.128,-1.37
49.5158181,41.4645622,1183.507,1190.875,25.202,0.049,27.312,0.138,0.723,1.151,0.118,-0.23,-2.11
49.5321466,41.4640099,2065.042,1215.931,25.34,0.043,27.075,0.13,0.466,1.391,-0.009,0.043,-1.735
49.5113823,41.4620607,947.185,1374.925,24.787,0.053,26.125,0.043,1.099,0.736,-0.044,0.003,-1.338
49.5223925,41.461811,1541.477,1383.035,24.122,0.057,25.826,0.053,1.703,1.274,0.269,0.14,-1.704
49.5202693,41.4614818,1427.325,1408.647,25.052,0.08,26.456,0.089,1.596,1.514,0.203,-0.137,-1.404
49.5216897,41.4613419,1504.121,1417.437,25.372,0.073,27.072,0.123,1.128,1.261,0.248,-0.017,-1.7
49.5055433,41.4614423,632.913,1424.652,25.456,0.053,27.051,0.097,0.632,0.953,-0.069,0.265,-1.595
49.5614702,41.4579325,3654.455,1626.617,25.468,0.072,27.346,0.124,1.027,0.954,0.086,0.032,-1.878
49.5134536,41.4567855,1065.228,1752.84,23.4,0.049,25.171,0.049,1.808,1.739,0.228,0.132,-1.771
49.5200187,41.4534135,1423.476,1989.706,24.949,0.052,26.539,0.081,0.964,1.257,-0.03,0.176,-1.59
49.5156331,41.4523817,1188.077,2067.918,24.376,0.066,25.75,0.072,1.866,1.959,0.187,0.267,-1.374
49.5703083,41.4514136,4139.374,2087.719,24.555,0.056,26.027,0.075,1.393,1.713,0.192,0.157,-1.472
49.498467,41.4458146,269.601,2555.97,24.816,0.055,26.15,0.061,1.154,1.191,0.095,0.223,-1.334
49.5591479,41.4439901,3546.329,2632.465,25.183,0.064,26.842,0.098,1.107,1.206,-0.003,0.175,-1.659
49.5261625,41.4443256,1765.907,2638.417,24.81,0.075,26.532,0.081,1.738,1.263,0.195,-0.037,-1.722
49.5448762,41.4434712,2776.806,2682.928,24.457,0.071,25.975,0.046,1.983,0.945,0.263,0.054,-1.518
49.5684453,41.4428778,4049.426,2703.937,24.607,0.059,26.444,0.059,1.438,0.87,0.217,0.21,-1.837
49.5107144,41.4399549,937.479,2966.921,25.254,0.058,27.092,0.078,0.904,0.616,0.139,-0.011,-1.838
49.5058118,41.4398074,673.072,2981.908,24.309,0.058,25.65,0.047,1.646,1.245,0.247,0.072,-1.341
49.5379891,41.4392643,2410.257,2992.061,24.955,0.051,26.432,0.07,0.935,1.118,0.012,0.178,-1.477
49.5649556,41.4378275,3867.348,3070.741,24.731,0.063,26.151,0.065,1.43,1.283,0.257,0.086,-1.42
49.5055653,41.4382516,661.613,3094.136,24.035,0.042,25.567,0.039,1.218,1.015,0.192,0.136,-1.532
49.5085901,41.4381701,824.954,3097.307,25.347,0.054,26.989,0.124,0.722,1.425,-0.04,-0.067,-1.642
49.5470489,41.437647,2901.168,3100.224,24.3,0.066,25.815,0.052,1.616,1.235,0.281,0.187,-1.515
49.5423657,41.436342,2650.008,3198.448,25.412,0.059,26.863,0.074,0.799,0.762,0.04,0.03,-1.451
49.5560686,41.4351444,3391.022,3272.106,25.463,0.051,27.192,0.112,0.561,0.968,0.117,0.21,-1.729
49.5246228,41.4353234,1693.645,3287.867,24.572,0.07,26.163,0.049,1.778,0.842,0.24,0.059,-1.591
49.5341115,41.4344041,2206.875,3345.47,24.872,0.047,26.26,0.046,0.872,0.715,0.113,0.04,-1.388
49.5331892,41.4337734,2157.859,3391.713,25.267,0.066,26.793,0.103,1.084,1.349,0.239,0.233,-1.526
49.5229381,41.4333127,1605.132,3434.141,25.39,0.068,27,0.085,0.991,0.817,0.04,-0.049,-1.61
49.5356854,41.4324942,2294.135,3481.532,25.321,0.07,26.766,0.073,1.134,0.851,0.253,0.052,-1.445
49.5207963,41.432408,1490.62,3501.193,24.453,0.045,26.021,0.055,1.103,1.142,0.14,0.06,-1.568
49.5573212,41.4306046,3464.208,3597.767,24.974,0.045,26.698,0.082,0.748,1.067,-0.023,-0.022,-1.724
49.5433695,41.4289852,2713.143,3727.149,25.396,0.045,26.748,0.071,0.493,0.816,0.073,-0.039,-1.352
49.5159116,41.4288526,1231.225,3761.535,24.747,0.041,26.121,0.061,0.787,1.173,0.064,-0.175,-1.374
49.5213233,41.4278336,1524.551,3830.032,24.514,0.055,25.83,0.05,1.384,1.174,0.139,0.223,-1.316
49.515493,41.4278368,1209.843,3835.032,24.014,0.042,25.727,0.061,1.214,1.633,0.201,0.298,-1.713
49.508099,41.4277339,810.858,3849.052,23.132,0.035,24.874,0.04,1.211,1.49,0.17,0.197,-1.742
49.5401577,41.4270826,2542.092,3867.045,24.821,0.061,26.11,0.034,1.323,0.443,0.185,0.092,-1.289
49.5211551,41.4272778,1516.142,3870.195,25.03,0.056,26.918,0.116,1.005,1.382,0.218,0.291,-1.888
49.5476631,41.426253,2948.232,3919.91,25.463,0.062,27.072,0.08,0.803,0.675,0.127,-0.046,-1.609
49.5539469,41.4260199,3287.708,3930.928,25.238,0.065,26.708,0.096,1.06,1.32,0.218,-0.208,-1.47
49.5515837,41.4253701,3160.941,3979.876,24.813,0.056,26.583,0.069,1.143,0.944,0.233,0.236,-1.77
49.5566944,41.4251206,3437.116,3993.137,25.017,0.055,26.571,0.052,0.983,0.587,0.197,0.101,-1.554
49.5498883,41.4249514,3069.938,4011.576,25.276,0.061,26.756,0.069,0.883,0.745,0.047,-0.047,-1.48
