RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
49.9011328,41.2028157,2146.84,698.573,24.73,0.041,26.601,0.038,0.501,0.422,-0.07,-0.022,26.32752,-1.59752
49.9032713,41.2073089,2250.158,1119.732,24.904,0.063,26.383,0.041,0.793,0.606,0.051,0.022,26.0468,-1.1428
49.9239981,41.1987145,637.538,1250.407,25.279,0.052,26.827,0.076,0.385,0.912,-0.027,0.202,26.50184,-1.22284
49.9158745,41.2028303,1307.075,1255.759,25.195,0.068,27.212,0.106,0.659,0.962,0.001,0.181,26.96188,-1.76688
49.9014386,41.2180609,2893.646,1865.431,25.091,0.062,26.518,0.078,0.633,1.234,0.197,0.176,26.17348,-1.08248
49.9156185,41.2114131,1752.035,1896.469,22.499,0.032,23.951,0.03,1.522,1.556,0.208,0.234,23.61048,-1.11148
49.9192308,41.2127561,1613.469,2134.493,25.385,0.072,26.826,0.069,0.582,0.82,0.136,0.209,26.48372,-1.09872
49.9022566,41.2220192,3045.449,2196.245,23.352,0.033,25.428,0.037,1.106,1.08,-0.024,-0.1,25.18732,-1.83532
49.9245279,41.211109,1228.927,2209.524,24.193,0.047,25.796,0.058,0.994,1.489,0.083,0.073,25.47964,-1.28664
49.8951768,41.2274039,3718.929,2337.398,25.047,0.068,26.693,0.067,0.751,0.868,0.13,0.28,26.38352,-1.33652
49.9396638,41.2098676,303.954,2686.595,23.518,0.032,25.897,0.039,0.95,0.848,-0.096,-0.144,25.7048,-2.1868
49.9263272,41.21794,1468.957,2794.989,23.635,0.021,26.055,0.034,0.498,0.625,0.049,0.092,25.86936,-2.23436
49.9460775,41.213859,138.654,3231.025,24.48,0.042,26.012,0.043,0.685,0.882,0.037,0.166,25.68428,-1.20428
49.9301029,41.2251417,1614.974,3483.076,23.966,0.038,25.634,0.039,0.853,1.014,0.246,0.25,25.32804,-1.36204
49.9165361,41.2324122,2752.7,3522.272,24.88,0.061,26.5,0.049,0.764,0.691,0.225,0.13,26.18636,-1.30636
49.9349024,41.2248171,1325.191,3639.546,24.489,0.053,26.16,0.042,0.907,0.753,0.215,0.177,25.85452,-1.36552
49.9312323,41.2317878,1883.958,4029.227,25.206,0.058,26.74,0.052,0.507,0.6,0.215,0.177,26.4126,-1.2066
49.913539,41.2426058,3434.609,4181.687,24.423,0.045,25.945,0.045,0.767,0.997,0.186,0.184,25.61568,-1.19268
49.9187748,41.240376,3024.476,4210.137,25.158,0.067,26.802,0.053,0.665,0.575,0.29,0.171,26.4922,-1.3342
49.9185355,41.241316,3085.243,4272.337,24.696,0.046,26.267,0.042,0.629,0.695,0.213,0.1,25.94552,-1.24952
49.9109608,41.2453736,3720.284,4294.218,22.455,0.022,24.115,0.016,0.943,0.658,0.062,-0.008,23.80776,-1.35276
49.8917233,41.2098554,3036.208,877.229,24.66,0.056,26.237,0.045,0.853,0.778,0.227,0.186,25.91648,-1.25648
49.895868,41.208398,2726.846,923.069,23.56,0.041,25.326,0.04,1.267,1.256,0.294,0.205,25.03572,-1.47572
49.9131805,41.2016061,1399.286,1061.366,25.35,0.083,27.14,0.093,0.712,0.875,-0.137,0.274,26.85356,-1.50356
49.9011961,41.2183061,2919.762,1874.87,25.208,0.061,26.709,0.088,0.549,1.225,0.143,0.123,26.37632,-1.16832
49.910743,41.2189642,2408.567,2284.767,24.284,0.047,25.823,0.045,0.93,1.068,0.155,0.139,25.4964,-1.2124
49.940575,41.2096645,241.832,2705.594,23.094,0.027,25.455,0.027,0.938,0.691,0.004,-0.038,25.25992,-2.16592
49.9440986,41.2096685,41.205,2838.879,24.224,0.045,25.821,0.034,0.908,0.749,0.225,0.156,25.50368,-1.27968
49.907291,41.2303716,3177.244,3019.03,24.035,0.041,25.679,0.032,0.935,0.761,-0.069,0.071,25.3692,-1.3342
49.9129546,41.2285022,2760.746,3090.928,25.385,0.071,26.919,0.069,0.563,0.734,-0.103,0.183,26.5916,-1.2066
49.9361792,41.2275641,1390.224,3895.835,24.894,0.038,26.721,0.061,0.371,0.766,0.075,0.111,26.44048,-1.54648
49.9130569,41.242796,3471.611,4177.918,25.247,0.064,26.704,0.06,0.56,0.749,0.063,0.261,26.36428,-1.11728
