RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.8462824,41.9590518,589.675,84.552,25.006,0.051,26.433,0.089,0.915,0.901,0.112,0.159,-1.427
49.8504108,41.977271,1915.961,187.416,24.941,0.052,26.336,0.067,0.976,0.637,-0.004,0.011,-1.395
49.8564361,41.972929,1633.444,536.604,25.439,0.034,27.236,0.107,0.261,0.389,-0.03,-0.007,-1.797
49.8640469,41.9817626,2303.377,885.397,25.294,0.048,26.519,0.083,0.647,0.742,0.084,-0.177,-1.225
49.8695923,41.9901392,2930.657,1126.946,24.401,0.043,25.724,0.072,1.043,1.367,0.122,0.012,-1.323
49.8717749,41.9817275,2337.924,1297.579,22.317,0.017,24.464,0.028,0.455,0.886,0.013,0.026,-2.147
49.8832931,42.0039619,3987.652,1767.817,25.381,0.07,26.922,0.128,1.068,0.883,0.21,0.146,-1.541
49.8844497,41.9812194,2362.366,1976.502,24.94,0.057,26.629,0.09,1.112,0.736,0.042,0.028,-1.689
49.8836485,41.9703576,1579.627,2004.022,24.887,0.049,26.329,0.089,0.934,1.032,0.043,0.247,-1.442
49.8869311,41.9541968,436.538,2283.565,22.61,0.045,24.996,0.061,1.912,1.878,0.044,-0.108,-2.386
49.8912253,41.9835725,2563.684,2322.453,24.817,0.062,26.104,0.069,1.344,0.897,0.248,0.051,-1.287
49.891029,41.9816896,2427.72,2324.179,23.766,0.047,25.28,0.054,1.559,1.284,0.208,0.124,-1.514
49.8934278,41.993447,3282.367,2375.93,25.334,0.07,26.576,0.093,1.115,0.809,0.094,-0.29,-1.242
49.8929941,41.98547,2708.264,2404.455,24.843,0.064,26.452,0.066,1.344,0.525,0.154,-0.062,-1.609
49.8928266,41.980875,2377.958,2425.272,24.214,0.06,25.704,0.08,1.814,1.6,0.108,-0.111,-1.49
49.8970349,42.0011618,3852.94,2518.204,24.483,0.05,25.785,0.064,1.252,1.095,0.204,0.009,-1.302
49.9001652,41.9570096,701.948,2971.094,25.268,0.073,26.866,0.147,1.193,1.146,0.043,0.253,-1.598
49.9012949,41.9561113,642.98,3037.154,25.444,0.062,27.286,0.134,0.808,0.556,-0.036,0.072,-1.842
49.9016874,41.9565682,677.635,3055.124,24.445,0.045,25.985,0.055,1.076,0.723,0.203,0.135,-1.54
49.9017759,41.9570243,710.767,3056.888,25.19,0.036,26.649,0.091,0.374,0.72,0.034,-0.056,-1.459
49.9026928,41.9640092,1216.058,3060.508,25.369,0.067,26.987,0.125,0.992,0.773,0.221,0.041,-1.618
49.9042422,41.9564253,679.704,3192.287,24.656,0.045,26.402,0.101,0.985,1.13,-0.039,-0.046,-1.746
49.9097191,41.9661318,1402.138,3421.375,24.871,0.04,25.9,0.056,0.689,0.787,-0.069,-0.168,-1.029
49.9155487,41.9736,1965.789,3683.704,23.79,0.046,25.176,0.056,1.55,1.486,0.178,0.232,-1.386
49.9237584,41.9786247,2365.738,4088.71,23.628,0.031,24.88,0.028,0.944,0.664,0.127,0.115,-1.252
49.8656301,41.9696641,1443.379,1047.837,23.408,0.044,25.681,0.062,1.6,1.132,-0.089,-0.065,-2.273
49.873123,41.9619847,928.645,1496.916,23.443,0.03,25.761,0.06,0.962,1.013,-0.051,-0.028,-2.318
49.8803102,41.9924236,3145.92,1683.433,24.95,0.073,25.989,0.062,1.554,0.869,0.28,0.104,-1.039
49.8900421,41.9679396,1436.98,2360.542,25.28,0.087,26.767,0.106,1.533,0.805,0.278,0.093,-1.487
49.9010144,41.9571351,715.044,3015.56,22.96,0.042,24.416,0.032,1.655,1.039,0.193,0.163,-1.456
49.9051147,41.9585561,836.7,3224.997,24.178,0.04,25.605,0.065,1.075,1.302,0.125,0.141,-1.427
49.8979425,41.9524971,367.661,2881.792,25.323,0.066,26.373,0.085,1.012,0.904,0.245,0.266,-1.05
49.9022643,41.9568919,703.624,3083.791,25.2,0.065,26.749,0.109,1.091,0.842,0.249,0.172,-1.549
49.9235235,41.9843102,2772.29,4039.239,25.497,0.045,27.447,0.144,0.449,0.52,0.024,0.101,-1.95
49.8515951,41.952533,147.631,409.831,24.02,0.059,25.625,0.07,1.851,1.364,0.159,0.281,-1.605
49.9032267,41.9564531,676.798,3137.956,24.132,0.059,25.581,0.076,1.84,1.589,0.227,0.281,-1.449
