RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
49.611326,41.1746967,1630.105,515.688,25.257,0.063,27.554,0.102,0.884,0.997,0.242,-0.087,27.34868,-2.09168
49.6152344,41.1757006,1539.192,783.094,25.258,0.072,27.11,0.068,1.038,0.902,0.061,0.221,26.83348,-1.57548
49.6295895,41.1632051,40.539,867.939,24.331,0.036,26.694,0.064,0.916,1.189,-0.055,-0.159,26.49924,-2.16824
49.6241344,41.1695158,722.507,922.288,25.252,0.071,27.065,0.081,1.037,1.161,0.285,0.262,26.78224,-1.53024
49.6325498,41.1682211,278.039,1306.486,25.376,0.087,27.777,0.104,1.187,0.804,0.071,-0.086,27.58832,-2.21232
49.6323644,41.1752769,793.678,1687.669,25.278,0.102,26.928,0.087,1.58,1.439,0.188,-0.019,26.61916,-1.34116
49.6074545,41.2048823,3964.137,1980.311,25.067,0.085,26.668,0.077,1.494,1.519,0.05,0.041,26.35132,-1.28432
49.6453496,41.1853752,978.781,2951.092,25.426,0.104,27.246,0.082,1.381,1.008,-0.212,0.056,26.96436,-1.53836
49.6403773,41.1902751,1538.982,2953.358,24.67,0.07,26.708,0.076,1.648,1.437,-0.16,0.027,26.46124,-1.79124
49.6563663,41.189876,843.252,3797.479,24.285,0.026,26.094,0.042,0.608,1.051,0.038,0.168,25.8106,-1.5256
49.6327425,41.2129659,3490.907,3797.914,25.353,0.064,27.264,0.066,0.794,0.74,0.102,0.215,26.99692,-1.64392
49.6295313,41.2162618,3862.097,3806.781,24.76,0.046,26.85,0.082,0.911,1.415,0.088,0.134,26.61156,-1.85156
49.6628751,41.1840778,154.281,3828.792,25.145,0.046,27.633,0.069,0.63,0.527,-0.016,-0.036,27.45824,-2.31324
49.6523729,41.2009488,1807.027,4194.893,24.873,0.051,26.722,0.06,0.951,1.076,0.198,0.232,26.445,-1.572
49.6046081,41.1865953,2766.881,811.796,24.925,0.054,26.725,0.057,0.961,1.003,0.13,0.042,26.44016,-1.51516
49.6128739,41.2060271,3820.375,2337.247,24.651,0.04,26.792,0.07,0.834,1.208,0.055,-0.257,26.56172,-1.91072
49.628719,41.205956,3154.151,3191.338,24.232,0.065,26.386,0.05,1.996,1.116,0.005,-0.053,26.1578,-1.9258
49.6485364,41.1876155,1007.119,3247.945,24.734,0.056,26.834,0.07,1.163,1.192,0.256,0.267,26.59716,-1.86316
49.6510538,41.1953544,1459.272,3813.326,25.241,0.047,26.989,0.08,0.591,1.23,-0.079,0.257,26.69584,-1.45484
49.653428,41.1947968,1320.095,3911.042,25.048,0.057,27.271,0.09,0.935,1.111,0.124,0.199,27.05384,-2.00584
49.6122941,41.187354,2500.646,1270.165,25.239,0.067,26.847,0.077,0.959,1.291,0.257,0.224,26.53144,-1.29244
49.610722,41.2062187,3923.96,2231.358,25.352,0.113,27.747,0.149,1.623,1.279,0.25,0.264,27.55736,-2.20536
49.610722,41.2062187,3923.96,2231.358,25.352,0.113,27.297,0.092,1.623,1.1,0.25,0.242,27.03536,-1.68336
