RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.7508733,41.2713854,2828.892,524.126,24.254,0.05,25.948,0.053,1.885,1.145,0.238,0.08,-1.694
49.7548701,41.270767,3049.135,540.107,24.554,0.05,25.942,0.044,1.649,0.872,0.262,0.143,-1.388
49.7380046,41.271274,2139.468,622.69,24.583,0.043,25.985,0.061,1.342,1.307,-0.043,0.163,-1.402
49.7372047,41.2709718,2099.381,649.891,25.078,0.038,26.648,0.058,0.847,0.621,-0.073,-0.054,-1.57
49.7340605,41.2707881,1932.397,685.131,24.528,0.054,26.093,0.07,1.83,1.448,0.113,-0.052,-1.565
49.7079091,41.2731857,506.798,697.726,24.165,0.028,25.596,0.035,0.902,0.815,0.079,0.099,-1.431
49.7614995,41.26762,3434.355,718.018,24.478,0.049,26.082,0.035,1.703,0.529,0.119,-0.01,-1.604
49.7187174,41.2694463,1121.677,888.789,25.292,0.047,26.663,0.09,0.937,1.153,0.104,-0.184,-1.371
49.7637092,41.2635318,3591.285,994.277,24.222,0.049,25.612,0.031,1.851,0.673,0.247,0.045,-1.39
49.7165907,41.2673808,1026.867,1051.185,24.102,0.029,25.552,0.052,0.867,1.425,0.05,0.009,-1.45
49.7226381,41.2663615,1360.903,1081.462,25.149,0.047,26.536,0.074,1.093,1.031,0.1,0.246,-1.387
49.7177256,41.2667803,1093.378,1086.084,25.18,0.058,26.702,0.084,1.214,0.918,0.232,0.221,-1.522
49.7170829,41.265319,1072.548,1194.92,23.846,0.048,25.289,0.022,1.995,0.452,0.245,0.028,-1.443
49.7148264,41.2652406,952.19,1216.371,23.691,0.037,25.126,0.03,1.502,0.931,0.186,-0.052,-1.435
49.7209624,41.2634218,1298.464,1303.104,25.267,0.058,26.597,0.06,1.342,0.677,-0.043,0.033,-1.33
49.7712113,41.2552759,4071.37,1530.686,24.413,0.051,26.401,0.096,1.819,1.707,-0.108,-0.011,-1.988
49.7263101,41.2580221,1635.944,1650.996,24.348,0.038,25.772,0.072,1.206,1.892,0.173,0.153,-1.424
49.7486896,41.2432523,2975.391,2547.86,25.101,0.057,27.046,0.151,1.505,1.605,-0.107,0.05,-1.945
49.7622119,41.2395537,3735.932,2716.539,25.003,0.052,26.597,0.067,1.384,0.848,0.1,-0.029,-1.594
49.752659,41.2401096,3217.92,2744.226,24.748,0.057,26.28,0.055,1.797,0.882,-0.007,0.027,-1.532
49.7466808,41.2389457,2907.921,2869.45,24.774,0.048,26.069,0.059,1.418,1.17,0.234,0.229,-1.295
49.7573906,41.2367568,3503.357,2950.206,24.823,0.048,26.514,0.064,1.37,0.833,0.175,0.013,-1.691
49.7683555,41.2340508,4117.375,3066.001,24.491,0.043,26.244,0.069,1.118,1.026,0.093,-0.204,-1.753
49.7651278,41.2341195,3943.458,3083.887,25.142,0.038,26.826,0.082,0.69,0.805,0.038,-0.089,-1.684
49.7674746,41.2337065,4073.321,3096.799,25.063,0.077,26.454,0.061,1.43,0.572,0.249,0.048,-1.391
49.7646109,41.2335244,3921.296,3130.015,24.947,0.038,26.38,0.076,0.769,1.177,-0.048,-0.002,-1.433
49.765443,41.2330044,3970.847,3161.262,25.181,0.064,26.693,0.097,1.282,1.112,0.173,0.071,-1.512
49.7646257,41.2329134,3927.824,3173.526,24.974,0.057,26.489,0.083,1.369,1.159,0.187,-0.096,-1.515
49.7663055,41.2320172,4026.414,3225.649,24.069,0.045,25.501,0.044,1.384,1.047,-0.062,0.021,-1.432
49.764511,41.2321249,3929.065,3230.626,24.779,0.035,26.292,0.071,0.762,1.135,0.129,-0.102,-1.513
49.7670665,41.2312081,4074.864,3278.031,25.366,0.062,27.06,0.142,1.029,1.259,0.172,-0.122,-1.694
49.7397461,41.2328774,2592.484,3351.505,25.323,0.064,26.583,0.065,1.496,0.804,0.207,0.102,-1.26
49.6995334,41.2357697,406.537,3427.717,24.984,0.038,26.449,0.061,0.929,0.875,0.129,0.217,-1.465
