RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.7665242,41.2286256,4069.989,3466.213,25.215,0.047,26.8,0.082,1,0.902,-0.101,0.163,-1.585
49.7664317,41.2284106,4067.042,3482.215,24.209,0.044,25.874,0.048,1.593,1.038,0.171,0.057,-1.665
49.7593328,41.2290247,3680.154,3488.473,25.197,0.055,26.54,0.086,1.317,1.267,0.189,0.252,-1.343
49.7152948,41.2323611,1284.575,3560.381,24.465,0.032,25.758,0.048,0.947,1.145,0.137,0.112,-1.293
49.7003829,41.2335061,473.274,3583.359,24.745,0.049,26.259,0.073,1.46,1.313,0.203,0.275,-1.514
49.6999591,41.2333834,451.665,3595.093,24.992,0.054,26.536,0.093,1.479,1.402,0.2,0.095,-1.544
49.7503627,41.2270188,3217.365,3694.931,23.7,0.039,25.172,0.034,1.571,1.098,0.214,0.129,-1.472
49.7589741,41.2248031,3700.498,3792.369,25.281,0.047,26.765,0.044,1.013,0.306,0.136,0.063,-1.484
49.7673575,41.223827,4159.774,3802.877,25.391,0.036,26.527,0.074,0.603,1.054,0.079,0.191,-1.136
49.7139604,41.2278324,1255.243,3893.063,25.337,0.039,26.921,0.082,0.713,0.79,0.124,-0.078,-1.584
49.7280625,41.2237052,2051.031,4088.545,25.161,0.05,26.843,0.071,1.148,0.659,-0.016,0.086,-1.682
49.7316899,41.2713173,1800.245,664.027,25.466,0.042,26.951,0.103,0.717,1.058,0.111,-0.251,-1.485
49.7394403,41.2663639,2262.485,963.106,25.265,0.045,26.482,0.093,0.96,1.487,0.101,0.151,-1.217
49.718909,41.2679459,1145.983,994.552,25.421,0.07,26.896,0.1,1.306,0.971,0.172,-0.005,-1.475
49.7180833,41.2622571,1154.851,1406.486,24.822,0.051,26.331,0.076,1.499,1.315,0.048,-0.104,-1.509
49.7440958,41.2566676,2603.128,1622.531,25.056,0.05,26.191,0.083,1.269,1.665,0.164,-0.267,-1.135
49.7487561,41.2545267,2873.295,1742.535,25.175,0.054,26.493,0.075,1.228,1.065,0.016,0.04,-1.318
49.7696038,41.2507774,4027.342,1863.16,25.106,0.042,27.013,0.133,0.978,1.427,0.044,0.146,-1.907
49.7056805,41.2484862,617.831,2476.714,23.664,0.025,25.05,0.049,0.882,1.805,-0.008,-0.216,-1.386
49.7418627,41.2404205,2635.464,2798.11,24.761,0.059,26.521,0.09,1.876,1.381,0.121,0.145,-1.76
49.7606683,41.2346197,3699.364,3079.65,25.081,0.04,26.39,0.074,0.926,1.191,0.136,-0.062,-1.309
49.7604,41.233253,3697.779,3179.105,24.508,0.025,25.843,0.05,0.607,1.127,0.04,0.12,-1.335
49.7633703,41.2293947,3893.446,3433.575,24.846,0.035,26.62,0.082,0.838,1.08,0.015,0.159,-1.774
49.7004431,41.2334083,477.418,3589.921,25.089,0.046,26.379,0.059,1.088,0.874,0.175,0.087,-1.29
49.7039872,41.2325206,675.985,3628.417,25.432,0.051,27.091,0.125,1.004,1.186,0.176,0.146,-1.659
49.7211944,41.2488674,1446.992,2340.519,24.825,0.062,25.986,0.072,1.892,1.632,0.252,0.262,-1.161
49.7616277,41.2376352,3722.574,2857.611,23.829,0.026,25.294,0.048,0.9,1.529,-0.066,-0.041,-1.465
49.7675353,41.2297685,4113.548,3377.49,25.358,0.045,26.988,0.133,0.802,1.373,0.004,0.281,-1.63
49.7111261,41.267478,732.724,1082.624,23.459,0.03,24.958,0.034,1.235,1.174,0.1,0.127,-1.499
49.7434357,41.2610829,2526.343,1311.981,25.162,0.045,27.052,0.146,1.037,1.547,-0.013,0.126,-1.89
49.7213812,41.2311134,1623.01,3606.671,25.208,0.065,26.883,0.093,1.646,0.981,0.176,0.201,-1.675
49.7458434,41.2719493,2553.734,519.295,25.213,0.039,26.963,0.097,0.814,0.954,0.079,0.108,-1.75
