RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.4264115,41.7490773,3468.4,179.988,25.073,0.062,26.499,0.077,1.066,0.726,0.015,0.104,-1.426
49.388681,41.7636434,1204.791,467.775,24.978,0.068,26.505,0.078,1.295,0.705,0.124,0.198,-1.527
49.4006387,41.7560063,2045.667,555.725,25.163,0.066,26.611,0.09,1.099,0.811,0.252,-0.208,-1.448
49.3924373,41.7588827,1565.475,635.392,25.409,0.052,26.943,0.095,0.597,0.592,0.143,-0.09,-1.534
49.3945041,41.7562722,1763.578,727.076,24.394,0.032,25.819,0.032,0.618,0.289,0.081,0.041,-1.425
49.375606,41.7606283,749.958,1045.141,25.079,0.044,26.297,0.056,0.604,0.555,0.103,0.113,-1.218
49.3695386,41.7623167,412.681,1130.025,25.476,0.107,26.606,0.125,1.636,1.339,0.376,0.391,-1.13
49.3953502,41.746999,2180.117,1250.858,23.978,0.04,25.356,0.039,1.048,0.786,0.128,-0.092,-1.378
49.4028165,41.7379262,2881.23,1560.773,25.468,0.097,27.408,0.173,1.435,0.821,0.106,0.12,-1.94
49.382133,41.7455686,1654.112,1738.766,25.255,0.071,27.42,0.145,1.099,0.616,0.173,0.143,-2.165
49.3608233,41.7547386,336.95,1844.917,24.026,0.052,25.502,0.063,1.519,1.381,0.232,0.114,-1.476
49.39912,41.7334042,2902.658,1941.55,23.498,0.032,24.713,0.041,0.946,1.288,-0.015,-0.028,-1.215
49.3607285,41.7489583,568.944,2190.485,24.869,0.071,25.937,0.069,1.491,1.109,0.073,0.048,-1.068
49.3983745,41.7257798,3181.419,2416.151,24.195,0.062,26.064,0.109,1.767,1.764,0.078,-0.336,-1.869
49.3738387,41.7366452,1651.993,2520.647,24.014,0.04,26.391,0.069,1.069,0.689,-0.012,-0.099,-2.377
49.3897403,41.7259429,2792.836,2669.937,25.275,0.099,26.579,0.106,1.707,1.084,0.36,0.346,-1.304
49.3594973,41.7407295,850.714,2715.843,25.483,0.091,26.78,0.078,1.298,0.526,-0.107,0.113,-1.297
49.3914554,41.7233696,2973.903,2770.125,24.755,0.042,26.4,0.062,0.738,0.563,-0.005,-0.074,-1.645
49.3727158,41.7329281,1754.237,2775.232,24.851,0.07,26.295,0.104,1.458,1.413,0.028,-0.088,-1.444
49.3668933,41.7346305,1427.103,2851.883,25.036,0.07,27.402,0.219,1.28,1.19,-0.1,0.086,-2.366
49.4046099,41.7138359,3945.609,2933.684,25.092,0.065,26.984,0.098,1.128,0.592,0.026,-0.078,-1.892
49.3551616,41.7391932,721.692,2939.107,24.136,0.049,25.562,0.041,1.332,0.7,0.149,0.106,-1.426
49.387403,41.722387,2834.803,2952.009,25.4,0.062,26.98,0.099,0.782,0.6,0.127,0.042,-1.58
49.3536903,41.7396978,635.988,2954.045,25.176,0.068,26.343,0.056,1.051,0.497,0.15,0.03,-1.167
49.3541758,41.7392085,677.456,2968.247,24.856,0.046,26.319,0.092,0.779,1.128,0.153,-0.269,-1.463
