"","RA","Dec","x","y","F814W","err","F475W","err_1","chi_I","chi_B","sharp_I","sharp_B"
"64",49.4349813,41.5041703,3227.638,2060.332,23.881,0.046,25.194,0.029,1.579,0.539,-0.066,0.054
"65",49.4357719,41.4976261,3694.647,2136.026,25.075,0.052,26.602,0.122,0.928,1.261,-0.104,-0.107
"66",49.4239129,41.5196023,2003.135,2362.429,25.429,0.063,26.744,0.099,0.92,0.805,-0.017,0.209
"67",49.4330294,41.4918013,4064.173,2383.428,25.301,0.052,26.596,0.103,0.776,1,0.178,0.016
"68",49.4091749,41.5324373,910.583,2902.282,23.563,0.039,25.046,0.047,1.469,1.29,0.152,0.194
"69",49.4086776,41.5285225,1176.941,2998.313,24.467,0.043,25.837,0.079,1.066,1.469,0.22,0.265
"70",49.4079584,41.5189094,1837.716,3207.93,25.488,0.053,26.913,0.13,0.61,0.959,0.091,-0.103
"71",49.4004963,41.5359122,551.952,3293.131,24.85,0.042,26.619,0.073,0.806,0.559,0.145,0.197
"72",49.4047824,41.5167522,1945.59,3412.39,22.964,0.037,24.579,0.029,1.634,0.889,0.171,0.092
"73",49.4053988,41.5098263,2436.859,3504.186,24.843,0.038,26.384,0.102,0.667,1.214,0.002,0.146
"74",49.4109963,41.4923668,3729.513,3524.336,25.395,0.085,27.034,0.121,1.431,0.764,0.203,-0.116
"75",49.4615006,41.5219739,2340.669,357.197,22.233,0.032,23.848,0.039,1.419,1.755,0.212,0.266
"76",49.4579619,41.5225997,2249.71,530.821,25.38,0.048,26.712,0.123,0.61,1.118,0.108,0.214
"77",49.4574588,41.5129575,2915.525,729.298,25.297,0.068,26.977,0.097,1.134,0.55,0.199,0.062
"78",49.4247608,41.5038427,3113.612,2600.028,25.207,0.056,26.761,0.118,0.926,1.01,0.092,0.122
"79",49.3898657,41.5287768,907.028,3975.882,25.197,0.045,26.842,0.112,0.632,0.808,0.126,0.084
"80",49.4149832,41.5246615,1530.687,2738.19,25.189,0.049,26.521,0.087,0.772,0.854,0.114,0.213
