RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.272344,41.3842866,4078.088,129.484,25.059,0.059,26.301,0.069,1.534,1.259,0.242,0.145,-1.242
49.2950923,41.3326274,161.552,210.114,25.335,0.06,26.905,0.079,1.333,0.839,0.121,0.178,-1.57
49.2774888,41.3813107,3791.514,332.05,25.18,0.057,26.599,0.081,1.382,1.195,0.063,0.075,-1.419
49.2912788,41.3481022,1287.089,340.78,25.179,0.054,26.737,0.091,1.292,1.221,0.223,0.097,-1.558
49.2953558,41.3452242,1024.224,490.459,23.787,0.044,25.149,0.044,1.721,1.477,0.226,0.214,-1.362
49.2913352,41.3578504,1957.016,550.137,24.882,0.042,26.5,0.052,1.075,0.682,0.098,0.06,-1.618
49.2814704,41.3825783,3815.448,564.479,25.456,0.051,26.842,0.065,1,0.649,0.054,-0.025,-1.386
49.2993757,41.3419866,737.521,629.596,23.982,0.039,25.466,0.033,1.378,0.776,0.143,0.036,-1.484
49.2973193,41.3492619,1270.871,677.39,22.355,0.031,24.017,0.022,1.281,0.872,-0.12,-0.031,-1.662
49.3037528,41.3339657,115.971,685.962,24.984,0.081,26.716,0.124,1.892,1.545,0.248,-0.198,-1.732
49.2837109,41.3842386,3894.083,715.333,24.152,0.027,25.898,0.056,0.768,1.316,0.068,0.176,-1.746
49.3058673,41.3375135,326.521,870.321,24.871,0.035,26.28,0.051,0.818,0.802,0.102,0.156,-1.409
49.3011325,41.3507662,1313.787,906.227,25.474,0.069,26.774,0.1,1.477,1.345,0.091,-0.149,-1.3
49.3025758,41.3479971,1100.292,922.171,23.911,0.031,25.339,0.049,1.034,1.529,0.099,0.007,-1.428
49.3026083,41.3482476,1117.016,929.153,25.09,0.051,26.182,0.089,1.238,1.915,0.102,-0.081,-1.092
49.3071928,41.3371368,279.533,930.835,24.841,0.058,26.511,0.077,1.656,1.193,0.245,0.058,-1.67
49.291697,41.3858729,3879.635,1162.272,24.44,0.031,25.768,0.05,0.869,1.244,0.117,0.045,-1.328
49.2946851,41.3797907,3413.608,1187.759,24.309,0.04,25.672,0.053,1.286,1.39,0.151,0.116,-1.363
49.2914171,41.3878088,4017.298,1188.815,24.81,0.049,26.177,0.082,1.38,1.724,0.039,0.107,-1.367
49.2949575,41.3826341,3604.953,1262.033,23.662,0.042,25.075,0.046,1.564,1.611,0.223,0.09,-1.413
49.3066451,41.3548259,1505.58,1276.936,25.055,0.045,26.54,0.062,1.056,0.836,0.119,0.136,-1.485
49.2998155,41.3820091,3484.765,1499.636,25.304,0.062,27.232,0.153,1.328,1.43,0.244,-0.161,-1.928
49.2985179,41.3903844,4081.737,1609.954,24.838,0.057,26.317,0.066,1.665,1.16,0.214,0.075,-1.479
49.3053346,41.3799312,3254.102,1740.633,24.265,0.032,26.04,0.081,0.958,1.861,0.036,0.129,-1.775
49.3084508,41.3774874,3036.435,1849.827,25.408,0.052,26.902,0.121,1.042,1.514,0.101,-0.107,-1.494
49.3230866,41.3421731,373.644,1858.652,24.709,0.048,26.099,0.055,1.395,1.099,-0.004,0.054,-1.39
49.3205465,41.3495916,924.539,1884.335,25.44,0.051,26.973,0.125,0.987,1.472,0.113,0.062,-1.533
49.3162124,41.3602932,1729.871,1886.845,25.445,0.06,27.058,0.075,1.25,0.643,0.065,-0.078,-1.613
49.3055767,41.3867946,3722.588,1898.407,24.62,0.049,26.389,0.062,1.494,1.003,0.042,0.062,-1.769
49.3132651,41.372024,2583.997,1982.832,24.278,0.05,25.639,0.037,1.748,0.867,0.171,0.088,-1.361
49.3087174,41.3859329,3613.414,2042.332,24.729,0.053,26.074,0.069,1.552,1.493,-0.11,0.049,-1.345
49.3158778,41.3776094,2926.898,2235.941,25.25,0.072,27.044,0.125,1.798,1.372,0.275,0.039,-1.794
49.3112874,41.3900911,3858.773,2263.024,24.892,0.056,26.641,0.124,1.535,1.995,0.212,-0.115,-1.749
49.3148182,41.382907,3308.31,2293.318,22.888,0.045,24.359,0.035,1.993,1.426,0.19,0.172,-1.471
49.3160826,41.3817831,3210.888,2334.826,24.593,0.042,26.349,0.084,1.149,1.483,0.085,0.031,-1.756
49.319905,41.3744557,2645.925,2377.198,24.343,0.043,25.893,0.055,1.374,1.253,0.195,0.04,-1.55
49.3152327,41.3885435,3689.637,2433.98,25.414,0.05,27.414,0.15,0.878,1.116,0.072,0.027,-2
49.3178701,41.3823265,3219.911,2438.625,24.609,0.044,26.185,0.071,1.167,1.317,0.061,0.137,-1.576
49.3172372,41.384554,3383.256,2453.07,24.935,0.047,26.633,0.1,0.956,1.333,0.034,-0.013,-1.698
49.3143801,41.3916835,3919.269,2456.401,24.95,0.053,26.517,0.109,1.391,1.894,0.168,0.032,-1.567
49.3181081,41.3839842,3330.218,2485.984,24.34,0.031,25.797,0.047,0.693,0.982,-0.035,-0.165,-1.457
49.3193353,41.3813185,3127.279,2492.96,23.521,0.032,24.957,0.047,1.065,1.692,0.128,-0.216,-1.436
49.319274,41.3822331,3191.194,2509.143,22.635,0.029,24.096,0.032,1.079,1.347,0.12,0.187,-1.461
49.3210333,41.3791517,2951.2,2534.807,24.905,0.055,26.592,0.079,1.479,1.125,0.031,0.187,-1.687
49.318241,41.3859951,3466.497,2535.392,24.316,0.041,26.241,0.081,1.089,1.366,0.072,-0.055,-1.925
49.3199522,41.3818577,3154.595,2536.224,24.705,0.062,26.095,0.048,1.709,0.792,-0.253,-0.153,-1.39
49.3186637,41.3850633,3395.664,2537.504,23.623,0.036,25.055,0.044,1.186,1.389,0.107,0.102,-1.432
49.3202569,41.3818055,3146.168,2550.851,24.202,0.05,25.914,0.062,1.642,1.372,0.095,0.011,-1.712
49.3195752,41.3841136,3315.834,2564.481,24.689,0.065,26.468,0.056,1.51,0.586,0.13,0.121,-1.779
49.3206202,41.3823371,3176.985,2580.859,24.891,0.047,26.542,0.074,1.011,0.979,0.078,-0.17,-1.651
49.3185059,41.3875832,3571.589,2582.667,24.39,0.06,25.919,0.066,1.815,1.425,0.143,-0.004,-1.529
49.3199678,41.3841982,3315.427,2586.542,24.272,0.057,26.151,0.062,1.574,0.929,0.208,0.056,-1.879
49.3190757,41.3863835,3479.981,2586.706,23.996,0.038,25.521,0.046,1.045,1.089,0.109,-0.041,-1.525
49.3171238,41.3914144,3857.198,2592.365,24.14,0.026,25.753,0.053,0.74,1.338,0.049,0.082,-1.613
49.317424,41.3907449,3806.357,2593.7,24.646,0.045,25.756,0.052,1.262,1.276,0.086,0.104,-1.11
49.321353,41.3812749,3092.251,2596.23,24.364,0.035,25.916,0.066,0.97,1.513,0.071,0.052,-1.552
49.3189827,41.3870586,3527.921,2596.189,25.352,0.077,26.854,0.118,1.257,1.247,-0.16,0.154,-1.502
49.3208136,41.3828572,3209.707,2601.849,23.758,0.038,25.666,0.066,1.252,1.688,0.17,0.06,-1.908
49.319807,41.3854975,3407.396,2605.723,25.476,0.081,26.81,0.08,0.862,0.561,0.03,0.141,-1.334
49.3288846,41.3665431,1958.818,2673.612,24.787,0.044,26.194,0.071,1.207,1.439,0.087,0.215,-1.407
49.3265929,41.3722942,2391.007,2676.877,24.467,0.037,26.001,0.055,1.068,1.19,0.117,0.155,-1.534
49.320583,41.3872669,3516.856,2683.225,23.455,0.021,25.049,0.033,0.528,0.91,0.001,0.025,-1.594
49.3223183,41.3835615,3234.298,2694.444,24.365,0.07,26.501,0.078,1.932,0.92,-0.148,0.061,-2.136
49.3224402,41.3837887,3248.001,2705.549,24.4,0.033,26.012,0.071,0.616,1.256,0.089,0.04,-1.612
49.320387,41.3892203,3654.403,2714.429,24.903,0.071,26.323,0.068,1.831,1.114,0.253,0.113,-1.42
49.3230012,41.383663,3230.444,2731.854,24.76,0.048,26.488,0.08,0.903,0.965,-0.066,-0.285,-1.728
49.3191321,41.3931948,3947.853,2733.717,23.701,0.027,25.243,0.054,0.879,1.824,0.088,0.099,-1.542
49.3207743,41.3909027,3764.045,2770.018,25.088,0.057,26.547,0.097,1.334,1.538,-0.057,0.22,-1.459
49.3217346,41.3888624,3608.385,2776.441,24.477,0.034,26.034,0.051,0.813,0.927,0.038,-0.006,-1.557
49.324763,41.3819649,3085.616,2786.916,24.8,0.071,26.56,0.122,1.964,1.928,-0.111,-0.268,-1.76
49.3259867,41.379092,2868.478,2789.344,24.387,0.033,25.782,0.034,0.956,0.656,0.116,0.034,-1.395
49.3245873,41.3840379,3231.074,2821.688,25.491,0.078,27.237,0.162,1.061,1.211,0.123,0.078,-1.746
49.325248,41.3826427,3124.569,2826.299,25.21,0.066,26.764,0.084,1.341,0.919,0.058,0.085,-1.554
49.3256785,41.3817456,3055.995,2829.552,24.386,0.04,26.029,0.067,1.152,1.407,0.111,0.071,-1.643
49.3253067,41.3831052,3155.466,2839.107,24.955,0.053,26.355,0.07,1.14,1.071,0.018,0.065,-1.4
49.3236722,41.3875996,3490.727,2849.775,25.032,0.055,27.404,0.142,1.018,0.851,0.057,0.052,-2.372
49.3263545,41.3818405,3051.801,2866.469,25.35,0.051,26.98,0.083,0.925,0.757,0.102,0.142,-1.63
49.3315669,41.370322,2176.334,2892.072,24.308,0.035,25.972,0.048,1.045,0.946,0.028,0.184,-1.664
49.3259707,41.3843606,3231.331,2899.947,24.87,0.038,26.566,0.101,0.678,1.404,0.005,0.112,-1.696
49.3263257,41.3838383,3189.751,2907.236,24.788,0.042,26.564,0.068,0.925,0.832,0.051,0.042,-1.776
49.326606,41.3832593,3145.454,2909.462,23.841,0.037,25.705,0.045,1.26,1.011,0.104,0.112,-1.864
49.3264365,41.3849674,3265.704,2936.837,25.138,0.041,26.41,0.075,0.639,1.094,-0.057,0.106,-1.272
49.3219363,41.3960406,4099.202,2938.698,24.202,0.05,25.716,0.061,1.78,1.624,0.188,0.216,-1.514
49.3251276,41.3882562,3512.815,2938.811,25.489,0.059,26.812,0.079,0.896,0.81,-0.096,-0.052,-1.323
49.3268727,41.3843556,3216.671,2946.422,24.362,0.036,25.834,0.078,0.947,1.905,0.034,-0.192,-1.472
49.3248194,41.3894676,3601.083,2948.516,25.299,0.068,26.892,0.111,1.357,1.257,0.15,0.049,-1.593
49.3243199,41.3907682,3698.52,2950.24,24.037,0.037,25.921,0.045,1.229,0.901,0.131,0.044,-1.884
