RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.5481197,41.7889956,2094.337,91.779,25.306,0.044,26.848,0.105,0.56,0.675,0.081,-0.099,-1.542
49.5614306,41.8091458,3710.464,150.459,24.461,0.044,26.187,0.066,1.11,0.74,0.148,0.166,-1.726
49.557042,41.8011992,3092.02,169.536,25.215,0.064,26.939,0.116,1.045,0.697,0.076,-0.1,-1.724
49.5338932,41.7620473,11.319,187.825,23.595,0.04,25.408,0.038,1.483,0.705,0.141,0.069,-1.813
49.547461,41.7827699,1670.806,242.784,24.639,0.046,26.001,0.056,1.057,0.679,0.135,0.148,-1.362
49.5626413,41.8076603,3639.443,253.5,24.079,0.038,25.769,0.046,1.116,0.665,0.142,0.093,-1.69
49.5615913,41.8057309,3489.633,258.897,25.202,0.054,26.459,0.076,0.832,0.663,-0.003,0.136,-1.257
49.5563169,41.7942821,2621.627,337.693,25.236,0.041,26.56,0.099,0.548,0.903,-0.01,-0.126,-1.324
49.5477138,41.7798407,1483.891,341.403,25.256,0.055,26.777,0.098,0.842,0.67,0.201,-0.088,-1.521
49.566103,41.8102352,3884.608,347.188,24.733,0.042,26.291,0.053,0.811,0.42,0.086,-0.001,-1.558
49.5543498,41.7900345,2299.359,366.401,25.286,0.062,26.617,0.083,0.977,0.626,0.208,0.187,-1.331
49.5441222,41.7729999,955.551,366.785,22.632,0.036,24.15,0.027,1.642,0.995,0.212,0.11,-1.518
49.5676324,41.8115269,4003.051,384.035,24.586,0.039,26.329,0.08,0.698,0.768,0.022,0.16,-1.743
49.5589815,41.7957949,2779.517,423.671,24.137,0.033,25.853,0.05,0.883,0.696,0.042,-0.04,-1.716
49.5501435,41.7808327,1602.409,431.246,24.768,0.046,26.216,0.092,0.985,1.169,0.18,0.011,-1.448
49.5641911,41.8026238,3342.565,477.728,25.25,0.032,26.711,0.107,0.307,0.822,0.042,-0.095,-1.461
49.5567141,41.7873772,2176.668,560.47,24.04,0.051,26.088,0.071,1.682,0.918,0.238,0.098,-2.048
49.5537291,41.782136,1766.762,568.553,23.964,0.03,25.238,0.041,0.834,0.914,0.121,-0.044,-1.274
49.5753945,41.809443,4036.566,825.521,25.013,0.063,26.366,0.068,1.185,0.575,0.197,-0.092,-1.353
49.5509526,41.7661177,653.314,904.118,24.709,0.035,26.155,0.081,0.634,1.022,0.076,0.154,-1.446
49.5517797,41.7665434,699.451,932.12,23.535,0.046,25.142,0.048,1.809,1.245,0.231,0.195,-1.607
49.5609949,41.781211,1865.532,951.772,25.169,0.047,26.535,0.058,0.719,0.333,0.125,0.033,-1.366
49.5517005,41.7619168,393.719,1064.453,24.769,0.042,26.438,0.065,0.844,0.514,0.115,0.046,-1.669
49.5685751,41.7895903,2582.522,1076.338,25.24,0.046,26.681,0.134,0.639,1.21,0.119,-0.252,-1.441
49.5703414,41.7898556,2638.744,1155.046,25.19,0.056,26.609,0.082,0.904,0.617,0.207,-0.013,-1.419
49.5801172,41.8056983,3894.264,1167.116,25.218,0.064,26.883,0.103,1.061,0.626,0.219,-0.007,-1.665
49.581771,41.806998,4015.968,1209.808,24.86,0.052,26.641,0.113,1.027,0.967,0.11,0.068,-1.781
49.5807015,41.8050491,3864.449,1214.857,24.521,0.05,26.02,0.063,1.259,0.818,0.181,-0.011,-1.499
49.5597709,41.7699605,1099.465,1223.109,25.405,0.081,26.486,0.072,1.278,0.582,0.228,-0.158,-1.081
49.5610212,41.7701645,1140.328,1278.375,25.171,0.052,26.599,0.066,0.849,0.424,0.121,-0.088,-1.428
49.5688148,41.7799872,1956.869,1370.939,24.442,0.046,26.118,0.047,1.193,0.409,-0.024,-0.096,-1.676
49.5726674,41.7854404,2399.759,1399.046,24.543,0.033,25.962,0.058,0.671,0.781,-0.008,0.029,-1.419
49.5831293,41.7995895,3559.105,1494.616,23.831,0.029,25.47,0.06,0.82,1.284,0.075,0.076,-1.639
49.5689238,41.7646217,949.761,1828.873,25.08,0.06,26.359,0.09,1.117,0.977,0.18,0.056,-1.279
49.5836589,41.7879036,2803.042,1864.896,24.33,0.04,25.799,0.088,1.011,1.614,0.131,-0.194,-1.469
49.5894339,41.7947418,3379.151,1946.237,24.071,0.052,25.823,0.039,1.693,0.433,0.294,0.036,-1.752
49.5720598,41.757842,573.244,2182.26,23.602,0.027,25.237,0.049,0.85,1.2,0.072,-0.141,-1.635
49.5988492,41.7923176,3426.796,2478.813,25.189,0.074,26.211,0.096,1.336,1.226,0.283,-0.074,-1.022
49.5982411,41.7903244,3282.505,2507.786,25.313,0.07,26.473,0.13,1.151,1.449,0.047,0.055,-1.16
49.582912,41.7624329,1113.35,2578.82,24.672,0.06,26.04,0.063,1.447,0.786,0.267,0.039,-1.368
49.5886776,41.7710213,1804.269,2608.244,24.803,0.049,26.3,0.074,1.019,0.759,0.073,0.204,-1.497
49.584981,41.7634876,1228.112,2649.127,24.436,0.047,26.201,0.07,1.238,0.799,0.158,0.179,-1.765
49.60243,41.7892117,3301.48,2745.749,24.345,0.046,25.76,0.072,1.26,1.3,0.173,0.158,-1.415
49.5970931,41.7797257,2561.045,2763.973,25.168,0.053,26.845,0.104,0.836,0.645,0.087,-0.219,-1.677
49.6009742,41.7846455,2969.535,2809.055,22.927,0.03,24.282,0.024,1.17,0.802,0.169,0.107,-1.355
49.6105646,41.7983253,4078.93,2875.417,25.437,0.055,26.817,0.105,0.713,0.712,0.107,-0.24,-1.38
49.5921927,41.7563558,918.14,3212.694,25.439,0.054,26.928,0.097,0.678,0.527,0.042,-0.099,-1.489
49.5938392,41.7569075,990.584,3277.123,24.465,0.04,25.527,0.057,0.973,1.163,-0.091,-0.117,-1.062
49.595299,41.7515618,671.517,3506.226,25.486,0.037,26.841,0.099,0.317,0.624,0.043,-0.135,-1.355
49.6096136,41.7742013,2473.436,3540.167,24.934,0.039,26.697,0.088,0.661,0.593,-0.009,0.191,-1.763
49.616427,41.7829839,3200.142,3614.915,24.131,0.036,25.857,0.058,0.989,0.861,-0.127,-0.122,-1.726
49.5973589,41.7500321,616.327,3652.264,23.372,0.044,24.797,0.051,1.781,1.727,0.253,0.229,-1.425
49.6172043,41.7801038,3028.06,3737.928,24.494,0.032,26.003,0.062,0.659,0.811,0.017,-0.051,-1.509
49.5981237,41.7476865,479.072,3758.888,24.485,0.046,25.988,0.061,1.163,0.806,0.102,0.085,-1.503
49.6242746,41.7860533,3574.337,3908.732,23.139,0.031,25.447,0.037,1.299,0.67,0.108,-0.1,-2.308
49.6100691,41.76231,1702.366,3913.116,24.541,0.044,26.072,0.051,1.042,0.531,0.199,0.071,-1.531
49.6295746,41.7910867,4021.495,4019.795,25.366,0.048,26.73,0.09,0.609,0.614,-0.009,-0.159,-1.364
49.6036564,41.7468445,545.444,4054.863,25.294,0.055,26.773,0.088,0.808,0.553,0.156,0.126,-1.479
49.6158327,41.7640768,1945.19,4143.396,24.612,0.049,26.242,0.064,1.163,0.656,0.035,-0.152,-1.63
49.6310207,41.7872612,3802.056,4203.473,23.138,0.035,25.192,0.041,1.372,0.962,-0.135,-0.055,-2.054
49.5356728,41.7676297,417.206,110.764,25.151,0.042,26.447,0.065,0.6,0.482,0.146,0.069,-1.296
49.557141,41.8018492,3136.901,155.242,25.318,0.043,26.679,0.118,0.454,0.963,-0.045,0.148,-1.361
49.5582095,41.8030664,3240.333,171.733,23.75,0.038,25.084,0.038,1.286,0.942,0.145,0.128,-1.334
49.5569731,41.8008327,3066.427,176.952,24.085,0.033,25.533,0.045,0.887,0.832,0.104,0.048,-1.448
49.5611414,41.806954,3560.115,200.84,23.904,0.034,25.279,0.035,1.04,0.69,0.083,0.056,-1.375
49.5590259,41.8021572,3198.517,238.49,23.869,0.043,25.557,0.05,1.464,0.921,0.051,0.009,-1.688
49.5381015,41.7609216,29.725,427.225,23.207,0.032,25.057,0.036,1.25,0.865,0.017,-0.005,-1.85
