RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.2519652,41.3568345,2631.122,88.849,24.53,0.063,25.968,0.076,1.603,1.466,0.279,0.126,-1.438
49.250858,41.3548663,2483.307,131.436,24.853,0.051,26.367,0.086,1.024,1.18,0.173,0.078,-1.514
49.2471105,41.350786,2127.519,158.693,23.917,0.041,25.28,0.027,1.607,0.73,0.127,0.004,-1.363
49.2529995,41.3557431,2605.175,181.727,25.054,0.062,26.802,0.103,0.984,0.814,0.153,0.174,-1.748
49.2642379,41.3656874,3543.801,203.609,25.316,0.062,26.769,0.089,1.379,1.005,0.037,0.119,-1.453
49.2625484,41.3638578,3383.965,215.484,24.943,0.055,26.176,0.049,1.49,0.78,0.033,0.031,-1.233
49.2541304,41.3555463,2632.594,238.16,24.656,0.04,25.918,0.055,0.782,0.933,0.092,0.012,-1.262
49.2556912,41.3557533,2697.231,294.369,25.197,0.058,26.585,0.07,1.044,0.743,-0.115,-0.012,-1.388
49.2555457,41.3554684,2676.337,301.156,24.228,0.058,25.998,0.05,1.779,0.821,-0.002,0.077,-1.77
49.2579172,41.3542201,2687.061,457.33,23.265,0.024,25.066,0.028,0.949,0.865,0.073,0.068,-1.801
49.2595046,41.3556548,2821.331,459.063,23.84,0.042,25.193,0.033,1.647,1.063,0.159,-0.004,-1.353
49.2549031,41.3502664,2363.29,509.702,25.197,0.051,26.836,0.078,1.172,0.76,-0.22,-0.132,-1.639
49.2584472,41.3532229,2649.26,524.757,25.154,0.067,26.73,0.092,1.483,1.024,-0.253,0.163,-1.576
49.2670199,41.3599142,3315.206,581.932,25.282,0.035,26.575,0.071,0.683,0.893,0.065,0.016,-1.293
49.2345169,41.3297285,520.522,582.602,25.226,0.055,26.516,0.078,1.253,1.092,0.088,0.167,-1.29
49.2534205,41.346839,2121.027,602.581,24.569,0.043,26.125,0.064,1.334,1.234,-0.127,-0.017,-1.556
49.2615657,41.3528668,2735.326,671.918,24.725,0.047,26.566,0.097,1.255,1.332,0.094,-0.039,-1.841
49.2427123,41.3351561,1102.982,681.443,24.563,0.042,25.842,0.051,1.291,1.166,0.206,-0.074,-1.279
49.2619103,41.3510908,2647.631,766.824,22.768,0.027,24.885,0.026,1.213,0.901,-0.018,-0.125,-2.117
49.25724,41.3467332,2244.94,767.889,25.168,0.056,26.587,0.073,1.338,0.929,-0.117,0.163,-1.419
49.2415733,41.3320816,892.135,772.748,23.445,0.034,25.075,0.024,1.453,0.726,0.19,0.064,-1.63
49.2391983,41.3287691,625.935,822.858,24.949,0.064,26.322,0.07,1.767,1.15,0.264,0.04,-1.373
49.2461316,41.3340565,1157.655,874.968,24.688,0.053,26.1,0.046,1.606,0.768,0.142,-0.025,-1.412
49.2432741,41.3308439,880.655,900.285,24.359,0.05,25.817,0.043,1.747,0.934,0.261,0.11,-1.458
49.2694103,41.3535221,3038.678,971.851,24.704,0.036,26.22,0.061,0.965,1.047,0.025,-0.147,-1.516
49.245394,41.3303066,922.646,1013.73,24.574,0.041,26.363,0.057,1.263,0.805,0.172,0.112,-1.789
49.2752602,41.3562798,3391.906,1092.726,24.899,0.043,26.57,0.085,1.131,1.168,0.196,0.14,-1.671
49.2495319,41.3318886,1151.886,1116.054,25.075,0.052,26.633,0.102,1.278,1.405,0.021,0.173,-1.558
49.2576634,41.3379059,1765.192,1185.396,23.463,0.043,24.946,0.036,1.892,1.444,0.226,0.124,-1.483
49.2435994,41.3243253,526.768,1209.071,25.214,0.045,26.776,0.132,0.962,1.679,0.051,0.245,-1.562
49.2642816,41.3392497,2065.434,1402.695,25.329,0.077,26.836,0.148,1.694,1.884,0.273,0.265,-1.507
49.2485975,41.3229903,621.965,1479.654,24.771,0.044,26.19,0.073,1.23,1.38,-0.036,-0.003,-1.419
49.2464322,41.3164607,182.786,1684.239,24.019,0.036,25.863,0.06,1.342,1.439,0.105,-0.018,-1.844
49.2624057,41.3267969,1304.593,1887.781,25.001,0.071,26.706,0.061,1.915,0.602,0.087,0.146,-1.705
49.2885632,41.3413836,3010.596,2326.386,24.79,0.05,26.332,0.093,1.447,1.695,0.086,-0.008,-1.542
49.3025928,41.3481489,3866.367,2609.277,25.017,0.039,26.472,0.096,0.906,1.546,-0.048,0.122,-1.455
49.3025603,41.3478985,3851.253,2619.256,23.89,0.038,25.359,0.037,1.465,1.078,0.086,-0.034,-1.469
49.3027278,41.3472892,3822.853,2653.898,24.965,0.048,26.368,0.048,1.179,0.628,0.113,0.013,-1.403
49.2879927,41.3274301,2210.316,2934.529,24.452,0.052,25.821,0.059,1.762,1.466,0.196,0.126,-1.369
49.3028536,41.3402851,3435.218,2976.544,25.456,0.065,26.764,0.127,1.315,1.632,0.26,-0.161,-1.308
49.2950839,41.3325315,2737.031,3001.403,25.286,0.065,26.508,0.077,1.477,1.088,-0.037,0.104,-1.222
