RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.9919436,41.3103177,2406.158,1406.067,25.451,0.085,27.246,0.137,1.252,0.677,-0.183,0.215,-1.795
49.9771505,41.3080554,1589.686,1406.77,24.456,0.045,26.204,0.079,0.937,0.993,0.153,0.103,-1.748
49.9561519,41.3047233,428.934,1416.048,25.335,0.074,27.438,0.167,1.083,0.707,0.2,-0.062,-2.103
49.9628115,41.3057197,796.203,1417.399,25.045,0.06,26.863,0.141,0.931,1.075,0.1,-0.106,-1.818
49.9727601,41.3071159,1343.524,1425.874,24.679,0.061,26.18,0.065,1.248,0.722,0.033,-0.014,-1.501
49.9969481,41.3103335,2671.65,1458.692,24.965,0.053,26.337,0.057,0.919,0.497,0.132,0.041,-1.372
49.9674478,41.305754,1042.448,1464.845,24.834,0.046,26.643,0.129,0.702,1.171,0.103,-0.277,-1.809
49.9624972,41.3048999,767.805,1471.862,25.423,0.054,26.89,0.096,0.532,0.575,0.04,-0.014,-1.467
50.0041582,41.311002,3063.386,1488.907,24.962,0.047,26.325,0.103,0.781,1.303,0.049,0.265,-1.363
49.9670108,41.3050558,1009.284,1509.413,23.934,0.034,25.243,0.064,0.753,1.585,0.05,0.064,-1.309
49.9951609,41.3090795,2558.996,1527.989,24.111,0.061,25.563,0.046,1.723,0.829,0.256,-0.103,-1.452
49.9992477,41.3096479,2783.747,1531.76,24.579,0.049,26.146,0.087,1.045,1.233,0.167,-0.22,-1.567
49.9785519,41.3064628,1641.182,1534.217,25.376,0.055,26.899,0.104,0.633,0.662,-0.02,-0.086,-1.523
49.9978133,41.309067,2699.414,1557.351,24.992,0.047,26.6,0.08,0.741,0.649,-0.031,0.012,-1.608
49.9709953,41.3049691,1219.249,1558.378,23.631,0.045,25.275,0.045,1.302,0.957,0.151,-0.005,-1.644
49.9822465,41.306632,1839.442,1561.982,23.839,0.041,25.578,0.045,1.107,0.767,0.146,0.073,-1.739
50.0178794,41.3119811,3804.688,1567.006,23.271,0.052,24.719,0.045,1.806,1.454,0.276,0.151,-1.448
49.9888835,41.3075148,2203.875,1570.988,24.461,0.056,25.923,0.071,1.337,1.147,-0.026,-0.05,-1.462
49.9930037,41.3078836,2427.552,1589.218,24.255,0.041,25.664,0.058,0.958,1.066,0.059,0.225,-1.409
49.9773449,41.3052735,1560.186,1605.162,23.702,0.05,25.118,0.046,1.472,1.169,0.141,0.094,-1.416
49.989015,41.3068117,2200.796,1622.02,23.106,0.048,24.686,0.041,1.685,1.288,0.162,0.204,-1.58
49.9650144,41.3024207,865.73,1673.875,24.8,0.051,26.112,0.075,0.758,0.906,0.105,0.002,-1.312
49.9565691,41.3008291,395.261,1695.316,24.653,0.046,26.854,0.135,0.904,1.079,0.067,0.061,-2.201
49.9635139,41.3017599,776.731,1704.366,24.105,0.048,26.019,0.077,1.209,1.115,0.194,0.115,-1.914
49.9835463,41.3045852,1879.065,1720.382,22.178,0.021,23.975,0.029,0.555,1.126,-0.01,0.116,-1.797
49.9683604,41.302106,1038.592,1732.071,24.929,0.069,26.798,0.123,0.713,0.615,-0.049,0.006,-1.869
49.9667921,41.3016255,948.577,1749.109,25.168,0.075,26.572,0.122,0.968,1.085,0.034,-0.297,-1.404
49.9621274,41.3008608,690.354,1752.887,24.487,0.047,25.859,0.051,0.945,0.694,0.127,0.078,-1.372
49.9727744,41.3024346,1277.283,1756.353,24.25,0.073,25.789,0.082,1.255,1.035,0.24,-0.041,-1.539
49.9800501,41.3034633,1677.684,1761.975,24.924,0.055,26.381,0.1,0.904,1.134,0.096,0.299,-1.457
49.9737622,41.30219,1326.141,1784.233,25.064,0.075,26.791,0.118,0.689,0.584,-0.051,0.16,-1.727
49.9838407,41.302945,1871.207,1839.284,24.993,0.079,26.704,0.076,1.531,0.516,0.214,-0.09,-1.711
49.9681493,41.3001995,1000.109,1864.328,25.311,0.076,27.4,0.226,0.961,1.06,0.184,-0.193,-2.089
49.9734317,41.3004443,1283.639,1903.864,25.239,0.081,26.888,0.137,0.951,0.862,-0.063,0.207,-1.649
49.9751467,41.300629,1377.194,1909.27,24.592,0.062,26.262,0.085,1.148,0.899,0.169,-0.063,-1.67
49.9630039,41.2984977,702.979,1929.062,24.055,0.048,25.924,0.08,1.242,1.304,0.195,0.096,-1.869
49.9700113,41.2991713,1084.097,1956.91,24.888,0.048,26.531,0.088,0.692,0.764,-0.01,-0.083,-1.643
50.0194983,41.3060458,3805.777,2003.223,25.396,0.075,26.543,0.1,1.114,1.007,0.194,0.283,-1.147
49.9615191,41.2971488,604.946,2008.266,25.077,0.071,26.619,0.096,1.258,0.851,-0.108,-0.063,-1.542
49.9771076,41.2991339,1459.755,2035.845,23.908,0.041,25.87,0.06,1.034,0.898,0.191,-0.045,-1.962
49.9792829,41.299285,1577.234,2048.565,24.515,0.042,25.968,0.079,0.826,1.228,0.032,0.025,-1.453
49.9659663,41.2972218,841.752,2050.961,23.716,0.042,25.315,0.071,1.198,1.816,0.151,0.281,-1.599
49.9801513,41.2990646,1620.115,2073.452,24.506,0.053,26.389,0.09,1.143,0.971,0.188,0.08,-1.883
50.0028091,41.3018777,2861.503,2118.312,23.645,0.05,25.117,0.045,1.59,1.142,0.141,-0.023,-1.472
49.9677672,41.2961991,922.583,2142.494,25.352,0.07,26.447,0.073,0.973,0.639,0.136,-0.15,-1.095
49.9709804,41.295409,1081.617,2232.808,25.418,0.07,26.903,0.143,0.918,1.075,-0.134,-0.162,-1.485
49.9718806,41.2946875,1119.012,2293.401,24.405,0.062,26.186,0.08,1.514,1.03,0.219,0.218,-1.781
49.9657551,41.2929713,769.697,2348.614,24.167,0.042,25.691,0.069,1.022,1.328,0.142,0.233,-1.524
50.0270004,41.3017608,4142.343,2386.047,25.074,0.062,26.501,0.084,1.083,0.804,0.054,0.127,-1.427
49.9745058,41.2937128,1244.244,2390.407,23.666,0.044,25.154,0.062,1.326,1.69,0.163,0.244,-1.488
49.9712998,41.2927513,1060.506,2423.774,23.629,0.057,25.057,0.044,1.848,1.128,0.245,0.164,-1.428
50.0194826,41.3000097,3718.781,2429.023,25.497,0.054,26.919,0.097,0.5,0.597,-0.021,-0.171,-1.422
49.9987409,41.2967643,2572.76,2435.479,24.493,0.044,26.11,0.078,0.937,1.102,0.112,-0.072,-1.617
49.9655753,41.2917128,742.143,2435.478,24.841,0.041,26.406,0.072,0.659,0.677,-0.061,0.161,-1.565
49.9747926,41.2927386,1245.505,2462.234,24.674,0.042,26.438,0.077,0.755,0.753,0.14,0.015,-1.764
49.9927349,41.2952999,2233.399,2474.319,24.824,0.051,26.305,0.106,0.96,1.368,0.205,0.085,-1.481
49.9662225,41.2911726,768.721,2480.558,25.406,0.064,27.152,0.121,0.863,0.624,0.089,0.135,-1.746
49.9678276,41.2900952,838.397,2573.851,25.066,0.068,27.032,0.156,1.221,1.075,0.154,0.011,-1.966
49.9598919,41.2885768,395.912,2595.604,24.881,0.066,26.463,0.077,1.323,0.729,0.122,0.158,-1.582
49.9732714,41.2895366,1119.029,2671.819,25.252,0.072,26.596,0.108,1.119,1.03,0.132,-0.214,-1.344
49.9711489,41.2891723,1001.279,2674.699,24.347,0.043,26.224,0.067,0.978,0.759,0.09,0.156,-1.877
49.9604638,41.286655,398.705,2737.367,24.116,0.052,25.483,0.054,1.429,1.131,0.152,0.056,-1.367
