RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
49.9342085,41.7464575,3776.019,1366.313,24.817,0.056,26.498,0.051,0.952,0.906,0.08,0.073,26.19412,-1.37712
49.9381348,41.7287424,2144.685,1391.053,24.783,0.047,26.511,0.066,0.735,1.322,0.186,0.279,26.21464,-1.43164
49.9365457,41.7470723,3807.779,1531.288,25.085,0.07,26.731,0.066,0.992,1.106,0.133,-0.048,26.42152,-1.33652
49.9392338,41.746468,3726.478,1703.369,24.649,0.066,26.437,0.06,1.397,1.225,0.001,0.147,26.15024,-1.50124
49.9452593,41.7191216,1208.588,1739.397,25.427,0.12,26.978,0.135,1.565,2.327,0.19,-0.292,26.65332,-1.22632
49.9476563,41.71248,587.691,1810.828,24.209,0.058,26.028,0.055,1.594,1.438,0.124,0.165,25.7462,-1.5372
49.9403544,41.7502593,4055.908,1829.535,24.726,0.054,26.568,0.073,0.994,1.437,0.107,0.274,26.28988,-1.56388
49.9434538,41.7385599,2973.467,1879.88,23.508,0.036,25.189,0.042,1.25,1.524,0.178,0.114,24.88512,-1.37712
49.9477471,41.7173686,1026.072,1882.678,22.861,0.027,25.131,0.038,1.118,1.359,-0.084,-0.156,24.92136,-2.06036
49.9439983,41.7438383,3442.328,1987.423,25.02,0.11,26.979,0.059,1.984,0.742,0.021,0.002,26.7196,-1.6996
49.9518187,41.7244787,1624.124,2251.412,24.617,0.084,26.429,0.075,1.942,1.698,0.093,-0.117,26.14608,-1.52908
49.949196,41.7465129,3630.492,2371.897,22.519,0.02,25.036,0.026,0.825,0.82,-0.049,-0.04,24.86588,-2.34688
49.9544535,41.7227203,1439.668,2404.48,25.335,0.094,27.055,0.078,1.244,1.05,0.288,0.215,26.75736,-1.42236
49.9546842,41.751347,4009.832,2804.854,24.956,0.08,26.804,0.072,1.408,1.203,-0.134,0.206,26.52684,-1.57084
49.9634857,41.7251958,1571.513,3043.547,24.707,0.079,26.72,0.042,1.655,0.558,0.266,0.055,26.46924,-1.76224
49.9671002,41.7087409,56.561,3064.944,25.117,0.064,26.77,0.056,0.872,0.846,-0.029,0.028,26.46164,-1.34464
49.9689614,41.7167135,754.354,3296.884,25.4,0.079,27.233,0.07,0.905,0.753,0.172,0.217,26.95344,-1.55344
49.9701329,41.7235196,1354.243,3466.868,25.434,0.057,27.284,0.084,0.48,0.921,0.056,0.204,27.00716,-1.57316
49.9682344,41.7415677,2995.162,3581.943,25.329,0.066,26.928,0.05,0.709,0.605,-0.17,-0.015,26.611,-1.282
49.9739902,41.7481484,3528.874,4056.233,24.92,0.055,26.662,0.061,0.85,1.042,0.249,0.15,26.36788,-1.44788
49.923108,41.7038168,55.992,47.365,24.547,0.052,26.222,0.044,1.082,0.916,0.226,0.187,25.91716,-1.37016
49.9305541,41.7119388,710.919,656.316,24.702,0.064,26.428,0.065,1.262,1.348,0.306,0.31,26.13132,-1.42932
49.9311183,41.7135157,846.949,715.406,24.902,0.062,26.726,0.056,0.965,0.802,0.175,0.131,26.445,-1.543
49.9321651,41.7133147,818.354,782.911,24.891,0.048,26.657,0.052,0.642,0.788,0.147,0.106,26.36672,-1.47572
49.9324061,41.7141147,887.824,809.854,24.477,0.058,26.098,0.039,1.313,0.828,0.196,0.157,25.78452,-1.30752
49.9338902,41.7155654,1003.258,928.938,25.216,0.062,27.189,0.09,0.735,1.13,0.188,0.196,26.93184,-1.71584
49.9325126,41.7390949,3131.461,1153.449,24.545,0.073,25.981,0.066,1.695,1.85,0.272,0.326,25.63792,-1.09292
49.9319826,41.7439522,3573.262,1183.336,24.586,0.055,26.388,0.07,1.149,1.546,0.184,0.154,26.10348,-1.51748
49.9445332,41.7311122,2293.369,1852.04,25.324,0.097,27.098,0.078,1.304,1.015,-0.376,0.083,26.809,-1.485
49.9429624,41.7449739,3554.776,1933.251,24.888,0.075,27.212,0.09,1.374,1.117,0.21,-0.107,27.011,-2.123
49.9450095,41.7497641,3964.669,2134.956,25.337,0.085,27.189,0.102,1.063,1.347,0.208,0.283,26.91248,-1.57548
49.9528396,41.7123557,524.479,2156.855,23.315,0.045,25.113,0.057,1.843,2.284,0.291,0.31,24.82784,-1.51284
49.9536616,41.7359603,2637.402,2529.403,25.292,0.079,26.734,0.056,1.014,0.849,-0.021,0.072,26.39188,-1.09988
49.9579366,41.7154875,754.755,2540.876,24.338,0.042,26.089,0.06,0.929,1.522,0.021,0.161,25.79632,-1.45832
49.9532757,41.7453058,3481.083,2629.192,24.202,0.049,25.873,0.051,1.261,1.363,0.144,0.214,25.56752,-1.36552
49.9704513,41.7186283,911.494,3422.541,24.808,0.059,26.516,0.047,1.038,0.782,0.174,0.128,26.21644,-1.40844
49.9258379,41.7113856,708.647,332.5,25.316,0.076,27.025,0.095,0.938,1.408,0.215,0.331,26.7256,-1.4096
49.9203871,41.7399937,3334.142,352.54,24.291,0.047,25.988,0.049,1.147,1.229,0.24,0.271,25.68668,-1.39568
49.9215657,41.7395962,3286.569,426.207,25.274,0.048,26.935,0.053,0.456,0.644,-0.133,0.154,26.62792,-1.35392
49.9321588,41.713551,839.652,785.67,24.834,0.061,26.904,0.066,1.039,0.895,0.212,0.186,26.66236,-1.82836
49.9544305,41.7419293,3166.074,2661.218,25.249,0.083,27.032,0.108,1.125,1.705,0.062,0.376,26.74444,-1.49544
49.9611378,41.7450806,3381.988,3153.3,25.077,0.096,27.51,0.142,1.623,1.586,0.214,0.141,27.32644,-2.24944
49.9745802,41.7472595,3443.088,4083.86,24.834,0.059,26.832,0.074,1.028,1.192,0.172,0.133,26.57884,-1.74484
49.9514882,41.7308529,2200.244,2314.971,25.239,0.064,27.22,0.111,0.773,1.496,-0.077,0.069,26.96412,-1.72512
49.9474461,41.7357437,2680.319,2109.693,25.495,0.1,27.385,0.095,1.139,0.985,-0.299,0.142,27.11456,-1.61956
