RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
49.923118,41.7034725,24.95,43.394,25.119,0.052,26.755,0.069,0.614,1.163,0.177,0.218,26.44392,-1.32492
49.9192182,41.7381277,3178.227,249.002,24.922,0.052,26.559,0.055,0.755,0.996,0.146,0.213,26.24808,-1.32608
49.9281513,41.7117668,719.628,492.819,23.893,0.039,25.735,0.061,1.148,1.889,0.22,0.311,25.45688,-1.56388
49.9290168,41.7111791,658.109,542.96,25.205,0.093,27.098,0.075,1.371,0.95,0.355,0.287,26.82804,-1.62304
49.9289672,41.7123781,766.351,555.787,25.353,0.079,27.164,0.059,0.945,0.608,0.127,0.04,26.88092,-1.52792
49.9263509,41.7282797,2221.565,594.56,22.621,0.022,24.328,0.027,0.911,1.034,0.088,0.03,24.02828,-1.40728
49.9311812,41.7050263,83.458,605.27,25.361,0.067,26.909,0.06,0.737,0.822,0.23,0.14,26.58384,-1.22284
49.9262533,41.7307756,2446.823,621.648,25.45,0.071,27.548,0.107,0.736,1.001,0.025,0.068,27.31084,-1.86084
49.9312948,41.7110317,621.959,693.783,24.974,0.069,26.735,0.055,1.117,0.831,0.165,0.182,26.44392,-1.46992
49.9314691,41.7122422,728.98,721.777,25.026,0.068,26.735,0.057,0.992,0.857,0.192,-0.008,26.4356,-1.4096
49.9313525,41.7131391,810.752,726.039,24.437,0.058,26.286,0.052,1.306,1.066,0.196,0.107,26.009,-1.572
49.9313391,41.7132323,819.259,726.394,23.546,0.045,25.346,0.035,1.598,1.085,0.213,0.184,25.06116,-1.51516
49.9314801,41.7128181,780.622,730.273,25.295,0.057,26.89,0.047,0.549,0.488,0.046,0.063,26.57236,-1.27736
49.9308858,41.7174172,1199.87,752.365,24.903,0.054,26.808,0.066,0.841,1.03,0.181,0.167,26.53996,-1.63696
49.9334082,41.7056412,116.321,762.954,22.958,0.017,25.49,0.028,0.495,0.74,0.066,0.095,25.32228,-2.36428
49.9310312,41.7175383,1209.287,763.744,24.28,0.046,26.148,0.045,1.099,0.996,0.237,0.149,25.87404,-1.59404
49.9320083,41.7130899,799.737,769.367,25.081,0.095,26.91,0.086,1.469,1.31,0.067,0.079,26.6298,-1.5488
49.932162,41.7126411,757.858,773.632,24.573,0.044,26.355,0.052,0.793,0.994,0.208,0.161,26.06728,-1.49428
49.9334209,41.7110684,603.88,836.901,25.254,0.049,26.909,0.092,0.455,1.488,0.119,0.297,26.60096,-1.34696
49.9322532,41.7193309,1358.087,869.853,25.466,0.067,27.284,0.062,0.64,0.55,-0.03,0.134,27.00204,-1.53604
