RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
49.2317152,41.7224101,2526.167,890.235,25.065,0.068,26.865,0.08,0.91,0.814,-0.059,0.029,26.58016,-1.51516
49.236065,41.7117079,1516.199,1002.668,23.405,0.031,24.956,0.03,0.769,0.766,0.07,0.113,24.63132,-1.22632
49.2412066,41.6961287,60.737,1087.105,24.457,0.069,26.201,0.048,1.441,0.687,0.272,0.083,25.9072,-1.4502
49.2454202,41.7025974,586.443,1475.463,24.917,0.069,26.762,0.061,1.027,0.574,0.109,0.024,26.48436,-1.56736
49.2455525,41.7025931,584.422,1484.214,24.1,0.039,25.867,0.039,0.801,0.637,0.059,0.026,25.57688,-1.47688
49.2586922,41.7125053,1307.339,2524.901,22.754,0.033,24.627,0.037,0.993,1.211,0.174,0.124,24.35384,-1.59984
49.2645535,41.7330406,3069.476,3255.961,24.058,0.034,26.1,0.055,0.642,0.946,0.02,0.143,25.85388,-1.79588
49.2828555,41.7065739,478.725,4038.278,25.37,0.066,27.145,0.089,0.619,0.663,0.089,0.015,26.85616,-1.48616
49.2456641,41.702659,588.922,1492.751,24.485,0.061,26.376,0.056,1.163,0.748,0.202,0.161,26.10572,-1.62072
49.2458337,41.7029286,610.911,1508.534,25.359,0.06,27.033,0.11,0.538,1.078,0.132,0.022,26.728,-1.369
49.2478114,41.7418105,4060.023,2285.2,24.594,0.09,26.43,0.083,1.8,1.199,0.253,0.114,26.15092,-1.55692
49.2578738,41.7019053,370.464,2294.653,22.819,0.025,25.245,0.04,0.681,0.997,-0.012,0.011,25.06032,-2.24132
49.272071,41.7311318,2806.037,3725.562,24.035,0.06,26.283,0.07,1.499,1.122,0.292,0.288,26.06984,-2.03484
49.2315205,41.7173287,2074.639,792.9,24.959,0.067,26.635,0.088,0.949,1.137,0.229,0.328,26.33032,-1.37132
49.2455884,41.702902,611.567,1491.732,25.09,0.108,26.812,0.079,1.636,0.821,0.33,0.071,26.51468,-1.42468
49.2530248,41.7375945,3618.878,2562.836,25.071,0.098,26.799,0.137,1.513,1.788,0.254,0.32,26.50264,-1.43164
