RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
49.4113395,41.3720316,2565.839,405.45,24.516,0.039,26.017,0.034,0.927,0.635,0.076,0.036,25.68432,-1.16832
49.4339917,41.3549575,376.682,434.489,24.871,0.038,26.615,0.041,0.685,0.463,0.155,0.13,26.3212,-1.4502
49.4199546,41.3665698,1800.599,481.661,24.332,0.032,25.929,0.029,0.785,0.537,0.067,-0.001,25.61168,-1.27968
49.4190166,41.3691122,2010.965,596.559,24.373,0.04,26.008,0.031,1.021,0.563,0.148,0.133,25.69676,-1.32376
49.4408166,41.3545379,25.327,742.195,22.067,0.018,24.602,0.015,0.91,0.458,-0.014,-0.021,24.43476,-2.36776
49.4426776,41.3583498,185.699,1074.397,25.345,0.058,26.795,0.053,0.889,0.57,0.139,-0.034,26.45416,-1.10916
49.4121934,41.3849897,3370.487,1266.985,24.786,0.064,26.236,0.037,1.47,0.576,0.219,0.016,25.89516,-1.10916
49.4099845,41.387254,3623.012,1302.128,25.404,0.064,26.907,0.05,0.967,0.45,0.208,0.164,26.57464,-1.17064
49.4217973,41.3786711,2502.503,1337.316,24.98,0.063,26.72,0.068,1.267,0.871,-0.016,0.077,26.42556,-1.44556
49.436573,41.369491,1202.348,1480.033,25.377,0.056,26.768,0.064,0.794,0.767,-0.287,0.049,26.41772,-1.04072
49.4315881,41.3779297,1989.469,1769.686,24.981,0.075,26.639,0.058,1.58,0.753,0.229,0.002,26.33144,-1.35044
49.4466439,41.3688867,684.969,1934.935,25.272,0.081,26.719,0.064,1.412,0.806,0.127,0.096,26.37768,-1.10568
49.4520422,41.3718305,620.887,2385.43,24.827,0.071,26.498,0.052,1.613,0.76,-0.262,0.002,26.19252,-1.36552
49.4416741,41.3802309,1660.98,2408.969,24.449,0.059,25.997,0.042,1.618,0.873,0.082,0.022,25.67184,-1.22284
49.4410047,41.3820729,1812.926,2492.69,24.439,0.06,25.834,0.039,1.669,0.871,-0.266,0.003,25.48436,-1.04536
49.4588038,41.3701371,189.553,2609.479,24.413,0.042,25.977,0.048,1.079,1.043,-0.075,-0.024,25.6544,-1.2414
49.4428885,41.38758,2082.866,2933.166,24.949,0.06,26.483,0.067,1.24,1.049,-0.122,-0.22,26.1556,-1.2066
49.4308018,41.3991684,3412.35,3074.467,25.147,0.074,26.78,0.059,1.392,0.673,-0.179,0.157,26.46844,-1.32144
49.4453014,41.3902607,2143.299,3220.795,24.494,0.05,25.971,0.039,1.295,0.781,0.236,0.134,25.63448,-1.14048
49.4343044,41.4027582,3480.385,3472.908,25.359,0.062,27.231,0.084,0.954,0.686,0.032,0.123,26.95768,-1.59868
49.4426127,41.4013457,2994.113,3790.178,23.069,0.025,24.975,0.029,1.026,1.021,-0.034,0.003,24.70712,-1.63812
49.4695042,41.3848077,639.368,4060.988,25.005,0.061,26.562,0.051,1.199,0.684,0.237,0.145,26.23828,-1.23328
49.4635626,41.3898449,1249.932,4088.508,22.576,0.02,24.057,0.014,0.897,0.552,0.01,-0.057,23.72112,-1.14512
49.4308153,41.3800537,2164.711,1866.188,22.052,0.021,24.497,0.029,1.069,1.213,-0.071,0.086,24.31536,-2.26336
49.4391059,41.3740309,1378.33,1891.151,24.643,0.049,26.2,0.06,1.158,1.123,-0.023,0.201,25.87628,-1.23328
49.4203938,41.3973927,3790.331,2452.845,25.355,0.071,26.79,0.065,1.137,0.765,-0.046,0.111,26.44676,-1.09176
49.4330294,41.3909127,2768.073,2661.351,25.034,0.06,26.472,0.056,1.159,0.818,0.272,0.187,26.12924,-1.09524
49.4589633,41.3780118,695.872,3115.171,24.8,0.045,26.36,0.043,0.933,0.656,0.095,0.021,26.03676,-1.23676
49.4172009,41.381498,2905.058,1291.164,24.391,0.042,25.81,0.061,1.105,1.566,0.23,0.284,25.4642,-1.0732
49.4249315,41.3960739,3488.999,2591.473,25.29,0.07,26.743,0.075,1.188,0.961,-0.159,-0.035,26.40264,-1.11264
