RA,Dec,x,y,F814W,err,F475X,err_1,chi_I,chi_B,sharp_I,sharp_B,F475W,color
49.4644025,41.3114102,1723.056,225.236,24.307,0.038,26.282,0.038,1.005,0.817,0.205,0.085,26.02516,-1.71816
49.4623974,41.3143934,1548.092,473.407,24.858,0.052,26.825,0.048,0.983,0.699,0.187,0.178,26.56688,-1.70888
49.4673234,41.323385,668.949,560.618,25.272,0.066,27.299,0.075,0.93,0.813,0.219,0.038,27.05048,-1.77848
49.445334,41.2940597,3726.275,633.539,25.382,0.073,26.987,0.059,0.938,0.813,0.259,0.069,26.67096,-1.28896
49.4542052,41.3095596,2198.516,760.586,25.134,0.049,27.096,0.072,0.701,0.972,0.13,0.275,26.83708,-1.70308
49.4475228,41.304112,2849.754,930.688,24.772,0.046,26.577,0.037,0.885,0.593,0.104,-0.088,26.29296,-1.52096
49.4512967,41.3097896,2273.325,945.649,24.457,0.046,26.179,0.033,1.131,0.707,0.085,0.078,25.88168,-1.42468
49.4640444,41.3292041,307.373,1006.585,25.478,0.096,27.194,0.098,1.228,1.355,0.273,0.116,26.89572,-1.41772
49.462944,41.3289795,360.671,1063.275,24.584,0.057,27.14,0.092,1.355,1.318,0.271,0.135,26.97612,-2.39212
49.4375845,41.3106609,2643.039,1809.041,25.435,0.127,27.236,0.108,1.684,1.448,0.226,-0.088,26.95132,-1.51632
49.4366782,41.3243338,1575.263,2447.123,23.875,0.046,25.599,0.038,1.591,1.314,0.275,0.164,25.302,-1.427
49.4421813,41.337711,325.823,2686.523,25.04,0.054,26.657,0.067,0.88,1.343,0.151,0.176,26.34288,-1.30288
49.4188896,41.3060726,3610.283,2739.856,25.474,0.095,27.238,0.112,1.228,1.551,0.24,0.295,26.9474,-1.4734
49.4272442,41.320809,2160.341,2865.088,24.589,0.062,26.291,0.04,1.482,0.874,0.221,0.137,25.99048,-1.40148
49.4279487,41.3225491,1998.169,2896.886,25.058,0.083,26.938,0.084,1.387,1.332,-0.072,-0.169,26.66596,-1.60796
49.42875,41.3237533,1875.89,2899.988,24.514,0.061,26.288,0.06,1.476,1.51,0.252,0.231,25.999,-1.485
49.4273346,41.3224185,2028.324,2928.309,25.451,0.09,27.612,0.137,1.067,1.279,0.008,0.285,27.38492,-1.93392
49.428412,41.3245326,1824.202,2953.601,25.366,0.076,27.185,0.091,0.978,1.202,0.232,0.164,26.9032,-1.5372
49.4272724,41.3232447,1964.033,2967.312,24.742,0.053,26.399,0.061,0.921,1.297,0.234,0.091,26.09128,-1.34928
49.4348646,41.3344863,818.954,2989.602,24.643,0.051,26.516,0.056,1.14,1.193,-0.147,0.068,26.24284,-1.59984
49.425214,41.3231057,2041.138,3085.39,24.822,0.042,26.686,0.043,0.745,0.646,0.067,0.043,26.4114,-1.5894
49.4171909,41.318367,2678.356,3366.655,25.322,0.047,26.9,0.059,0.537,0.882,0.057,0.043,26.57964,-1.25764
49.4324704,41.3402356,434.444,3379.14,24.621,0.04,26.472,0.051,0.855,1.071,0.003,0.189,26.19532,-1.57432
49.4139413,41.3179441,2816.389,3544.425,25.234,0.064,27.169,0.088,0.915,1.207,0.054,0.256,26.90576,-1.67176
49.4233017,41.3381886,892.368,3844.059,23.733,0.037,25.556,0.04,1.34,1.446,0.265,0.183,25.27484,-1.54184
49.3987996,41.3093723,3989.144,4091.377,22.707,0.019,24.983,0.017,0.931,0.497,-0.099,-0.007,24.77432,-2.06732
49.4102034,41.3265329,2247.023,4135.968,25.041,0.043,26.875,0.058,0.651,0.887,0.16,0.037,26.5956,-1.5546
49.4067754,41.3225514,2676.258,4172.717,24.673,0.064,26.334,0.054,1.463,1.314,0.261,0.201,26.02692,-1.35392
49.4562181,41.3253085,870.757,1311.661,24.802,0.043,26.45,0.061,0.79,1.404,-0.005,0.041,26.14084,-1.33884
49.4375678,41.3132081,2439.244,1918.745,24.285,0.047,26.115,0.055,1.313,1.523,0.029,0.115,25.83496,-1.54996
49.4433807,41.3288179,1000.757,2234.733,25.33,0.076,27.33,0.075,1.03,0.786,0.25,0.025,27.07716,-1.74716
49.4275361,41.3138804,2706.82,2551.89,24.569,0.051,26.307,0.054,1.197,1.346,0.155,0.074,26.01224,-1.44324
49.4325616,41.3216967,1918.739,2582.596,23.778,0.028,25.924,0.046,0.941,1.374,-0.044,-0.012,25.69452,-1.91652
49.4395907,41.3389739,307.528,2896.447,25.027,0.063,27.45,0.111,1.082,1.229,-0.207,-0.083,27.26484,-2.23784
49.4275483,41.3228732,1984.997,2934.835,25.165,0.081,26.966,0.075,1.135,1.045,0.254,0.195,26.68132,-1.51632
49.4270554,41.3232118,1973.63,2978.973,24.433,0.052,26.39,0.057,1.182,1.203,0.171,0.182,26.13028,-1.69728
49.423255,41.3199176,2359.667,3067.413,25.236,0.104,27.26,0.09,1.593,1.097,0.221,0.275,27.011,-1.775
49.44393,41.2935052,3815.779,694.489,24.395,0.054,26.186,0.049,1.43,1.274,0.242,0.191,25.89972,-1.50472
49.4269644,41.3241437,1901.785,3024.216,25.116,0.079,27.165,0.071,1.221,0.811,0.242,0.109,26.92,-1.804
